essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
1,1,"प्रिय स्थानीय समाचार पत्र, मुझे लगता है कि कंप्यूटर लोगों पर पड़ने वाले प्रभाव महान शिक्षण कौशल हैं । प्रभावित करते हैं क्योंकि वे हमें दोस्तों । नए लोगों के साथ चैट करने का समय देते हैं, हमें ग्लोब (खगोल विज्ञान) के बारे में जानने में मदद करते हैं और हमें रोकते हैं! के बारे में! क्या आपको ऐसा नहीं लगता? अगर आपका किशोर हमेशा दोस्तों के साथ फोन पर रहता है तो आपको कैसा लगेगा! क्या आप कभी भी चीजों के बारे में अपने दोस्तों या व्यपर साथी के साथ चैट करने के लिए। खैर अब - कंप्यूटर पर चैट करने का एक नया तरीका है, ऐसा करने के लिए इंटरनेट पर बहुत सारी साइटें हैं: @संगठन1, @संगठन2, फेसबुक, माईस्पेस ईत्यादी। जरा अब सोचिए जब आपका कंप्यूटर पर अपने बॉस के साथ मिलना शुरू होता है, तो आपका किशोर फोन पर मस्ती कर रहा होता है, क्योंकि आप इसे इस्तेमाल नहीं करना चाहते हैं। आपने अपने से बाहर अन्य देशों । राज्यों के बारे में कैसे सीखा? वैसे मेरे पास कंप्यूटर । इंटरनेट है, यह हमारे समय में क्या चल रहा है, यह जानने का एक नया तरीका है! आप सोच सकते हैं कि आपका बच्चा कंप्यूटर पर बहुत समय बिताता है, लेकिन उनसे अर्थव्यवस्था, समुद्री तल पर फैलने वाले या यहाँ तक कि @दिनांक1 के बारे में इतना सवाल पूछें कि आप उसे कितना जानते हैं । आश्चर्यचकित रह जाएंगे। मानो या न मानो कंप्यूटर बहुत दिलचस्प है तो कक्षा में पूरे दिन किताबों से बाहर पढ़ना। यदि आपका बच्चा आपके कंप्यूटर या किसी स्थानीय पुस्तकालय में घर पर है, तो यह दोस्तों के फ्रेश होने, या कुछ ऐसा करने के लिए तैयार होने से बेहतर है जिसे वे सही नहीं जानते हैं। आपको शायद पता नहीं होगा कि आपका बच्चा कहाँ है, अस्पताल के बिस्तर में ड्राइव-बाय के कारण मना करता है। अपने बच्चे के बजाय कंप्यूटर सीखने, चैट करने या सिर्फ गेम खेलने के लिए, अपने घर या सामुदायिक स्थान पर सुरक्षित और स्वस्थ रहें। अब मुझे आशा है कि आप मुझे समझने और उससे सहमत होने के लिए एक बिंदु पर पहुंच गए हैं, क्योंकि कंप्यूटर आपके या बच्चे पर बहुत प्रभाव डाल सकते हैं क्योंकि यह हमें दोस्तों । नए लोगों के साथ चैट करने का समय देता है, हमें ग्लोब के बारे में जानने में मदद करता है और हमें विश्वास रखता है या नहीं रखता है बाहर से। सुनने के लिए धन्यवाद।",4,4,8
2,1,"प्रिय @नाम1@नाम2, मेरा मानना ​​है कि कंप्यूटर का उपयोग करने से हमें कई तरह से फायदा होगा जैसे कि बात करना और दोस्त बनना अन्य लोगों जैसे कि फेसबुक और माईस्पेस के माध्यम से होगा। कंप्यूटर का उपयोग करने से हमे समनवय , स्थान और लाखों जानकारी प्राप्त करने में सहायता मिल सकती है। साथ ही कंप्यूटर हमें घर की योजना बनाने और इसे लिखने से कम में हमारी नौकरी के लिए एक @संख्या1 पृष्ठ रिपोर्ट टाइप करने के साथ नौकरियों में मदद करके लाभान्वित करेंगे। अब तकनीक के आश्चर की दुनिया में जाने देता है। कंप्यूटर का उपयोग करके हमें बात करने या लाइन पर दोस्त बनाने से जीवन में मदद मिलेगी। कई लोगों के पास माइस्पेस, फेसबुक्स, उद्देश्य होते हैं, ये सभी एक दूसरे के साथ बातचीत करके हमें लाभान्वित करते हैं। बहुत से लोग मानते हैं कि कंप्यूटर खराब हैं, लेकिन आप उनसे दोस्ती कैसे कर सकते हैं अगर आप उनसे कभी बात नहीं कर सकते हैं? मैं एक कंप्यूटर रखने के लिए बहुत भाग्यशाली हूं जो न केवल स्कूल के काम बल्कि मेरे सामाजिक जीवन और मैं कैसे दोस्त बना सकता हूं। कंप्यूटर हमें हमारे स्थान, समनवय और लाखों जानकारी ऑनलाइन खोजने में मदद करते हैं। अगर हम इंटरनेट पर बहुत आगे नहीं जाते हैं, तो हम यह नहीं जान पाएंगे कि उन वेबसाइटों पर कैसे जाना है, जो @महीना1 स्थानों के साथ हमारी मदद करती हैं और जैसे @स्थान1। क्या आप बल्कि एक कंप्यूटर का उपयोग करेंगे या @स्थान3 में होंगे। जब आपका @स्थान2 में अवकाश होना चाहिए। इंटरनेट पर लाखों की जानकारी पाई जाती है। आप लगभग हर सवाल पर हो सकते हैं और एक कंप्यूटर के पास होगा। क्या आप इसके बजाय कंप्यूटर पर आसानी से एक घर योजना तैयार कर सकते हैं या @संख्या1 घंटे ले सकते हैं, जो हर समय बदसूरत इरेजर के साथ एक हाथ से काम कर रहा है, आप इस तरह ड्राइंग के साथ एक नौकरी खोजने के लिए तैयार हैं। इसके अलावा, जब नौकरी के लिए अपील करते हैं तो कई श्रमिकों को @संख्या3 शब्द निबंध की तरह बहुत लंबे पत्र लिखने चाहिए, क्यों कि यह नौकरी आपको सबसे अधिक फिट बैठता है, और कई लोग जो मुझे पता है कि लिखना पसंद नहीं है @संख्या3 शब्द गैर-रोक टोक जब यह ले सकता है। उनमें से मैं एक कंप्यूटर हवलदार हूं। यही कारण है कि अब हमें जिन कंप्यूटरों की आवश्यकता है, वे बहुत अधिक हैं। मुझे उम्मीद है कि इस निबंध ने कंप्यूटर पर आपके वंश को प्रभावित किया है क्योंकि वे काम करने के लिए महान मशीन हैं। दूसरे दिन मैंने अपनी माँ को कंप्यूटर का उपयोग करने का तरीका दिखाया और उसने कहा कि यह सबसे बड़ी आविष्कार भावना थी कटा हुआ ब्रेड! अब बाहर जाओ और दोस्तों के साथ ऑनलाइन चैट करने में मदद करने के लिए एक कंप्यूटर खरीदें और बटन के एक क्लिक पर स्थान और लाखों जानकारी प्राप्त करें, अपने बॉस को स्वच्छ, तैयार, मुद्रित काम के साथ नौकरी पाने में मदद करें जो आपके बॉस को पसंद आएगी।",5,4,9
3,1,"प्रिय, @नाम1 @नाम2 @नाम3 अधिक से अधिक लोग कंप्यूटर का उपयोग करते हैं, लेकिन हर कोई इससे सहमत नहीं है कि इससे समाज को लाभ होता है। प्रौद्योगिकी में प्रगति का समर्थन करने वालों का मानना ​​है कि कंप्यूटर का लोगों पर सकारात्मक प्रभाव पड़ता है। दूसरों के अलग विचार हैं। दुनिया में एक बड़ी राशि आज कंप्यूटर का उपयोग कर रही है, कुछ काम के लिए और कूछ मज़े के लिए। कंप्यूटर मनुष्य का सबसे बड़ी उपलब्धियों में से एक है। कंप्यूटर इतने सारे तरीकों से मददगार हैं, @नाम4, न्यूज़ और लाइव स्ट्रीम। मुझे कंप्यूटर पर समय बिताने वाले लोगों के लिए गलत तरीके से मत समझो और उन्हें दूसरों के साथ बातचीत करनी चाहिए लेकिन हम कौन हैं जो उन्हें बताएं कि क्या करना है। जब मैं बड़ा हो जाता हूं तो मैं एक लेखक या पत्रकार बनना चाहता हूं और मैं इस तथ्य के लिए जानता हूं कि उन दोनों नौकरियों में कंप्यूटर पर बहुत समय शामिल होता है, एक @महीना1 अधिक समय व्यतीत करता है, तो दूसरा लेकिन आप जानते हैं कि क्या @नाम5 पर हो रही। तो क्या होगा अगर कुछ विशेषज्ञ सोचते हैं कि लोग कंप्यूटर पर ज्यादा समय बिता रहे हैं और व्यायाम नहीं कर रहे हैं, परिवार का आनंद ले रहे हैं और परिवार और दोस्तों के साथ बातचीत कर रहे हैं। सभी विशेषज्ञ यह जानते हैं कि लोगों को कैसे जीवन यापन करना चाहिए और हम नहीं जानते कि लोग बड़ी मात्रा में कंप्यूटर का उपयोग क्यों करते हैं और ईमानदार होना मेरी चिंता का विषय नहीं है और यह तथाकथित नहीं होना चाहिए। विशेषज्ञों की चिंता। लोग कंप्यूटर पर दिन में एक हजार बार बातचीत करते हैं। कंप्यूटर बाहर निकलने और परेशानी पैदा करने के बजाय सड़कों के बहुत सारे बच्चों को रखते हैं। कंप्यूटर सबसे अधिक वांछित अपराधियों का पता लगाने में @संगठन1 की मदद करता है। जैसा कि आप देख सकते हैं कि कंप्यूटर समाज के लिए अधिक उपयोगी हैं, तो आप सोचते हैं, कंप्यूटर समाज को लाभान्वित करते हैं।",4,3,7
4,1,"प्रिय स्थानीय समाचार पत्र, @नाम1 मैंने पाया है कि कई विशेषज्ञ कहते हैं कि कंप्यूटर हमारे समाज को प्रभावित नहीं करते हैं। कुछ मामलों में यह सच है लेकिन ज्यादातर मामलों में स्टडीज बताते हैं कि कंप्यूटर लोगों की मदद कर सकते हैं। जबकि व्यक्ति कंप्यूटर में बात कर रहे कुछ भी नहीं वास्तव में बंद कर सकते हैं ऐसे उदाहरण वेबकैम या ई-मेल हैं। @ अच्छे ग्रेड पाने वाले छात्रों का @प्रतिशत1, रीसर्च के लिए विश्वसनीय वेबसाइटों का संदर्भ देता है या अच्छी किताबें खोजने में मदद करता है। इसके अलावा ऑनलाइन उत्प्रेरित या विज्ञापन दुनिया भर में दुकानों की अर्थव्यवस्था में मदद करते हैं। @नाम2 लोगों को उन कंप्यूटरों का उपयोग करने की अनुमति नहीं थी जिनमें अधिकांश आधुनिक मौजूद नहीं होंगे। @व्यक्ति1 ने कहा कि आधुनिक संचार का सबसे अच्छा रूप कंप्यूटर है क्योंकि बहुत सस्ता लिखने, बात करने या वापस लिखने की क्षमता है! ई-मेल जैसे कंप्यूटर पर लगभग हर एक घटना की योजना ई-मेल से बनाई जाती है ""@नाम2 एक छात्र को कभी गृहकार्य की आवश्यकता होती है क्योंकि किसी बीमारी के लिए बाहर घूमना या परीक्षण के लिए अध्ययन में मदद की आवश्यकता होती है, तो उनके लिए संचार का सबसे अच्छा तरीका के माध्यम से अपने शिक्षक से संपर्क करें। हमेशा ई-मेल। यहां तक ​​कि डाकघर लोगों को पत्र और बक्से प्राप्त करने के लिए कंप्यूटर का उपयोग करता है। पोस्ट ऑफिस के अध्यक्ष, @व्यक्ति2 ने कहा कि ""@नाम3 हमारे कूपर्स को मेल प्राप्त करने के लिए असंभव होगा @नाम2 @नाम3कंप्यूटरों को बताने के लिए नहीं थे। हमें एक ज़िप कोड कहां है या एक बॉक्स कितना भारी है। ""@नाम4 जो लोगों को बताता है कि दुनिया भर में जो कुछ भी हो रहा है वह मौजूद नहीं होगा @नाम2 @नाम3 उन मॉड्यूमर संचार क्षमताओं के लिए नहीं थे जो कंप्यूटर हमें प्रोवाइड करते हैं। क्योंकि जानकारी को कम्यूट किया जा सकता है। त्वरित। तो फिर से खोज कर सकते हैं। जब @स्थान2 के देश ने एक पोल लिया @प्रतिशत2 लोगों ने किसी भी प्रकार की खोज के लिए कंप्यूटर का उपयोग किया, उन @प्रतिशत3 में से छात्र वर्तमान में स्कूल में थे और उनमें से @प्रतिशत4अच्छे ग्रेड थे। जब वही सर्वेक्षण @स्थान1 में लिया गया था @प्रतिशत5 लोगों ने कंप्यूटर के कारणों का उपयोग किया और @प्रतिशत2 ऐसे छात्र थे, जिनकी ग्रेड @नाम2 @नाम3 अच्छी नहीं थी, मेरे लिए @नाम @नाम में दस्तावेजों का उपयोग करना संभव नहीं था। मुझे शायद मेरे पर  ए+ नहीं मिला होगा मेरे @नाम7 असाइनमेंट पर ! क्या आप अचानक @नाम2 को अपने अखबारों के पत्रकारों को उनकी रिपोर्ट पर काम करने के लिए इंटरनेट का उपयोग नहीं कर सकते हैं? घटनाएँ घटित होने के बाद लेख शायद @संख्या1 होगा। अख़बार सहित अधिकांश व्यपार, विज्ञापन, दुकान, या पढ़ने के लिए इंटरनेट का उपयोग करते हैं। @संगठन1 के संघ ने बताया कि @संगठन1 के @प्रतिशत3 में एक वेबसाइट का उपयोग किया गया था और उनमें से @प्रतिशत5अच्छे पदों पर थे। @नाम8 @संख्या2 आयात के अध्यष ने कहा कि वे ऑनलाइन उत्प्रेरक का उपयोग करते हैं क्योंकि @नाम3 सस्ता है, लेकिन वे यह भी प्रचारित कर सकते हैं कि @नाम3 पेड़ों को बचाने के लिए है, या कलाकारों के विश्स के लिए। छोटा @संगठन2 वेबसाइटों को खुद को बढ़ावा देने और संभावित स्टारस्टोमर्स को अपने स्टार को समझाने के लिए बना सकता है। @संगठन2 के मालिक @व्यक्ति3 ने कहा कि इंटरनेट ने उनके संयम को बचाया। @नाम2 @नाम3 इंटरनेट के लिए नहीं थे @संख्या2 अधिक लोग @स्थान3 में बेरोजगार होंगे। निष्कर्ष में कंप्यूटर हर रोज लोगों की मदद करता है और उनके बिना ज्यादातर विश्वास मौजूद नहीं होता। वे दुनिया भर में संवाद करने में मदद करते हैं। कंप्यूटर लोगों को स्कूल की रिपोर्ट के लिए विषयों को फिर से पढ़ने में मदद करते हैं, और वे मौजूदा अर्थव्यवस्था को हर रोज बेहतर बनाते हैं। मडरेशन में कंप्यूटर सबसे उपयोगी उपकरण हैं।",5,5,10
5,1,"प्रिय @स्थान1, मुझे पता है कि कंप्यूटर होने से लोगों पर सकारात्मक प्रभाव पड़ता है। कंप्यूटर परिवारों को जोड़ते हैं, जिसमें ऐसी जानकारी होती है जो लोगों की शिक्षा के लिए बहुत अच्छी है, और बहुत ही सूवीधाजनक हैं। कम्प्यूटर्स भविष्य में एक कदम हैं और हमें इसका फायदा उठाना चाहिए। पहले इंटरनेट या ई-मेल से परिवार के सदस्यों को जुड़ने में मदद मिलेगी। मेरा परिवार, जो कार से @संख्या1 घंटे दूर रहता है, ई-मेल द्वारा मुझसे बात करना पसंद करता है। इससे मुझे अपने परिवार से जुड़ने में मदद मिलती है और बस एक और कारण है कि हमारे पास कंप्यूटर्स होने चाहिए। एक और कारण जिसमें परिवार शामिल है, जब परिवार बस आसपास बैठा है और हर जगह बस एक बोर्ड गेम खोजने के लिए बुला रहा है, तो इसे खोजने के लिए ऑनलाइन जाना आसान होगा। इस तरह से उस एक बोर्ड गेम को ढूंढना त्वरित और आसान होगा। आखिरी कारण है कि एक कंप्यूटर एक परिवार की मदद करेगा यदि कोई परिवार किसी भी प्रकार की गतिविधियों में शामिल होना चाहता है और उन्हें उस नंबर की आवश्यकता है जो वे ऑनलाइन कर सकते हैं। इंटरनेट पर परिवार को नंबर और इसके बारे में कुछ जानकारी मिल सकती है। इस तरह अधिक से अधिक परिवार एक साथ गतिविधियाँ कर सकते हैं। जैसा कि एक देख सकता है कि कंप्यूटर अधिक से अधिक परिवारों को एक साथ ला रहा है। एक और कारण है कि कंप्यूटर समाज के लिए अच्छे हैं, शिक्षा है। अपनी उंगलियों की नोक पर जानकारी के साथ अधिक से अधिक लोग सीखना चाहेंगे। अब एक दिन लोग इसका पता लगाने की कोशिश करते हैं, लेकिन क्या कंप्यूटर पर काम करने वाले लोगों को शिक्षा मिलेगी। दूसरा कंप्यूटर कोलाज में जाने का एक और तरीका है। यदि आप अपने बीमार होने के कारण स्कूल । कोलाज जाने के लिए तैयार नहीं हैं। आपको कुछ भी याद नहीं करना होगा क्योंकि एक बटन पर क्लिक करने से आपके पास आवश्यक सामग्री होगी जो छूट गई थी। अंतिम रूप से सभी जानते हैं कि @स्थान2 में अधिकांश कक्षाओं में एक कंप्यूटर नहीं हो सकता है। बच्चे कंपटीटर को इतनी मेहनत चाहते हैं। यदि वे एक प्राप्त करने के लिए थे तो यह बहुत बदल जाएगा। वे पहले से बहुत अधिक जानने में सक्षम होंगे। बच्चे अलग-अलग देशों के बारे में दूर-दूर तक झुक सकते थे। परिणामस्वरूप कंप्यूटर हमारे सीखने के तरीके को बेहतर बनाते हैं। कंप्यूटर के इतने उपयोगी होने का आखिरी कारण है, धैर्य। अब कहते हैं कि दुनिया पागल है, इसलिए अगर हमें बाहर नहीं जाना है या किसी से बात नहीं करनी है। कंप्यूटर अन्य लोगों को भ्रमित करने की क्षमता की पेशकश करेगा ताकि काम पार्टनर्स के बीच संचार हो। काम के लिए दूसरे के साथ बात करने की क्षमता से हमें एक हल्का राष्ट्र बनेगा। यह केवल कई कारणों में से एक है क्योंकि कंप्यूटर बहुत ही अधिक हैं, सबसे कम कंप्यूटरों के लिए पर्याप्त हैं क्योंकि आप फ्लाइट, छुट्टियां, किराया, और बहुत कुछ बुक कर सकते हैं। एक बटन के एक क्लिक के साथ आपको @नाम1 या एक अच्छी छुट्टी पर जाना चाहिए।",4,4,8
6,1,"प्रिय @स्थान1, मुझे लगता है कि कंप्यूटर हम पर नकारात्मक प्रभाव डालते हैं! कितने लोगों के पास रोजाना एक कैंपस में एमेरिका है। । @संख्या1 और कितने लोग कम से कम एक घंटे @संख्या2 पर जाते हैं। इसका मतलब है कि @संख्या3 लोग जो केंट अभ्यास बर्बाद कर रहे हैं, उनमें से कई में शारीरिक @नाम1 की सकारत्मकता है जो आपको अच्छा लगता है? चिट्ठी लिखते समय आपके द्वारा किए गए हर काम के बारे में सोचें। मैं उठा और सारी सामग्री लेकर वापस नीचे बैठ गया। बाद में लेखन के लिए सभी सामग्रियों को दूर रखना होगा और फिर पत्र को मेलबॉक्स में रखना होगा और सभी तरह से वापस चलना होगा। खैर यह वही है जो मुझे करना था। अब सोचें कि आप ईमेल सिटडाउन कैसे लिखते हैं और अपनी उंगलियों को हिलाते हैं। आपको फर्क दिखता हैं? @नाम1 ने अपने दोस्तों के घर जाने के बजाय आपसे बस उससे बात करने के लिए एक अच्छा वाक किया। क्या आप जानते हैं कि आप शाब्दिक रूप से अपने कंप्यूटर पर देख सकते हैं। इसके बजाय इसके आस-पास जो कुछ भी आप जोड़ सकते हैं, आपके कंप्यूटर से वे सूचनाएँ निकल जाती हैं, जिनसे वे जानकारी प्राप्त करते हैं और फिर कभी भी आपके द्वारा चला गया होता है। यह सब इसलिए आप ऑणलाइन जा सकते हैं। मानो या न मानो, आप कंप्यूटर पर लंबे समय तक होने के लिए शारिरीक रूप सेचोट कर सकते हैं। @संख्या4बात यह है कि जब आप एक कंप्यूटर @नाम2 पर होते हैं, तो मेरे दादाजी के साथ क्या हुआ है कि जब आप पूरे दिन लकड़ी की कुर्सी पर होते हैं, तो आप अपनी मांसपेशी @नाम3 चीज वें में गठिया पा सकते हैं।",4,4,8
7,1,"क्या आप जानते हैं कि इन दिनों अधिक से अधिक लोग अपनी सुरक्षा, प्राकृतिक शिक्षा और अपने सामाजिक जीवन के लिए कंप्यूटर पर निर्भर हैं? मेरी राय में, कंप्यूटर के बढ़ते उपयोग से समाज को कोई लाभ नहीं हो रहा है। प्रारंभ में, कंप्यूटर का उपयोग करते समय लोगों की सुरक्षा खतरे में है। शुरू करने के लिए, जब कोई कंप्यूटर पर दूसरे से बात कर रहा होता है, तो वे @महीना1 को कभी नहीं पता होता है कि इसके दूसरे छोर पर कौन है। उदाहरण के लिए, @नाम1 एक छोटी लड़की कंप्यूटर पर गेम खेल रही थी और एक व्यक्ति उससे बात करने लगा, यह एक शिकारी हो सकता है। वह कभी नहीं जान पाएगी जब तक वे हमसे कहीं नहीं मिलते। इस बिंदु पर, शायद बहुत देर हो चुकी है। इसके अलावा, अध्ययनों से पता चलता है कि नई चैट वेबसाइटों के कारण पिछले @संख्या1 वर्षों में लोगों की जानकारी का @प्रतिशत1 अधिक व्यापक रूप से उजागर हुआ है। जैसे कि माइस्पेस और फेसबुक। इन वेबसाइटों में, लोग अपनी जानकारी साझा करते हैं। इससे उनकी सुरक्षा खतरे में है। अंत में, लोगों को अपनी सुरक्षा को सुरक्षित रखने के लिए, जितना हो सके अब कंप्यूटर का उपयोग करना बंद कर देना चाहिए। इसके अलावा, प्रकृति का आनंद लेना बहुत जरूरी है, हमारी दुनिया में अपार परिदृश्य, विस्तृत जल, घने जंगल और हरे-भरे घाटियां हैं। @नाम1 आप दुनिया के बारे में सिखाने के लिए अपने कंप्यूटर पर निर्भर हैं, आपको इस उपयोग को बंद कर देना चाहिए। वास्तव में बाहर होना चाहिए, अनुभव, गंध और यहां तक ​​कि प्रकृति के स्वाद का अनुभव करना चाहिए। हाल के एक अध्ययन से पता चलता है कि जो लोग वास्तव में भव्य घाटी में गए थे, उन्होंने जो कुछ भी सीखा था उस पर एक @संख्या1 पृष्ठ निबंध लिख सकते थे। जो लोग नहीं गए और केवल अपने कंप्यूटर से जानकारी पढ़ी, वे इसे ज्यादा नहीं लिख सके। अंत में, समाज को अपने कंप्यूटरों से दूर जाने की जरूरत है, और इसमें रुकना चाहिए। तीसरा, किसी व्यक्ति का सामाजिक जीवन कई कारणों से कंप्यूटर के उपयोग से बर्बाद हो सकता है। इसका एक कारण यह हो सकता है कि कोई व्यक्ति अपने परिवार और दोस्तों के साथ समय बिताने के बजाय अपना सारा समय अपने कंप्यूटर पर बिताता है। ज़रूर, आप लोगों के साथ ऑनलाइन चैट कर सकते हैं, लेकिन यह व्यक्तिगत रूप से चैट करने जैसा कुछ नहीं है। किसी मित्र या परिवार के सदस्य से ऑनलाइन बात करने की आवश्यकता नहीं है, जब आप इसे व्यक्ति में कर सकते हैं। अंत में, @नाम1 कोई आपके साथ एक षर्मनाक तस्वीर लेता है और इसे अपने कंप्यूटर पर डालता है, यह हमेशा के लिए है। इस प्रकार, आप दोस्तों को खो सकते हैं, चाहे आप तस्वीर में व्यक्ति हो या तस्वीर डालने वाले व्यसनी। इसके साथ, आप अपने कंप्यूटर का उपयोग करके अपने परिवार । सामाजिक जीवन को आसानी से बर्बाद कर सकते हैं। आपको कैसा लगा @नाम2 यह आपकी गलती थी कि किसी की सुरक्षा खतरे में है? क्या आप इसके बजाय अपने कंप्यूटर पर व्यक्ति के स्वभाव का आनंद नहीं लेंगे और इसका प्रभाव नहीं पड़ेगा? क्या आप अपने दोस्तों और परिवार के लोगों से बात करने के बजाय उन्हें अपने कंप्यूटर का उपयोग करने के लिए अनदेखा नहीं कर सकते थे? कंप्यूटर उपयोग की बढ़ती दर से समाज को लाभ नहीं होने के कई तरीके हैं। मैं आपको मेरे साथ सहमत होने के लिए प्रोत्साहित करता हूं कि कंप्यूटर एक सुरक्षा को खतरे में डाल सकते हैं और प्रकृति की शिक्षा को कम कर सकते हैं और उनके सामाजिक जीवन को बर्बाद कर सकते हैं।",5,5,10
8,1,"@प्रतिशत1 लोगों का मानना ​​है कि कंप्यूटर जीवन को कम जटिल बनाते हैं। मैं भी इससे सहमत हूं। कंप्यूटर का उपयोग करना हाथ से आँख समन्वय सिखाता है, लोगों को दूर स्थानों और लोगों के बारे में जानने की क्षमता देता है, और लोगों को अन्य लोगों के साथ ऑनलाइन बात करने देता है। मुझे लगता है कि ये सभी बहुत महत्वपूर्ण हैं। आप मजबूत हाथ से आँख समन्वय क्यों नहीं करना चाहेंगे? मुझे लगता है कि यह एक बहुत महत्वपूर्ण कौशल है। कंप्यूटर हाथ से आँख समन्वय सिखाने में मदद करते हैं और वे इसे मजबूत रखते हैं। जब आप स्क्रीन को देख रहे हैं, तो आपका हाथ माउस को घुमा रहा है, जहाँ आप चाहते हैं कि वह जा सके। अच्छा हाथ-आंख समन्वय बहुत सी चीजों के लिए उपयोग किया जाता है; ज्यादातर सब कुछ। यदि आप बेसबॉल जैसे कुछ खेल खेलते हैं, तो हाथ-आँख सबसे महत्वपूर्ण तत्वों में से एक है। क्यों नहीं इस मजबूत से दूर करना? साथ ही, नोट्स लेते समय हाथ-आँख का उपयोग @संगठन1 के लिए किया जा सकता है। हाथ-आंख आपके द्वारा किए जाने वाले लगभग हर काम से जुड़ी होती है। आपके पास एक खराब हाथ-आँख समन्वय नहीं हो सकता है या फिर आप ठीक से काम नहीं कर पाएंगे। @संख्या2 डॉक्टरों में से @संख्या1 इस बात से सहमत हैं कि स्वस्थ जीवन के लिए हाथ-आँख बहुत महत्वपूर्ण हैं। मुझे यात्रा करना पसंद है, लेकिन मैं उस जगह के बारे में जानना चाहता हूं, जिससे मैं वहां जाने से पहले फोन पर जाऊंगा। ""@व्यक्ति1, @संगठन1 पर एक विज्ञान शिक्षक। उन्हें लगता है कि मुझे लगता है कि मुझे यकीन है। बहुत सारे लोग महसूस करते हैं। वे उस जगह के बारे में जानना चाहते हैं जो वे करने जा रहे हैं और वे चाहते हैं कि यह चालू हो। कंप्यूटर में दुनिया के बहुत सारे अलग-अलग स्थानों के बारे में बहुत जानकारी है। कुछ किताबें उतनी जानकारी प्रदान नहीं करती हैं या नहीं। उन्हें अद्यतन करने की आवश्यकता है। कंप्यूटर अन्य संस्कृतियों और परंपराओं के बारे में सीखने के लिए भी बहुत अच्छे हैं। कोई भी अज्ञानी सही नहीं होना चाहता है? लोग जानना चाहते हैं कि दुनिया में क्या हो रहा है त्वरित और आसान। कंप्यूटर यह करता है। मुझे याद है जब मैं @संख्या2 के बारे में, हमारे घर में हमारा फोन टूट गया। हम बाहर नहीं जा सकते थे और एक भी दूर नहीं जा सकते थे। हमारे परिवार और दोस्तों के साथ संवाद करने का एकमात्र तरीका कंप्यूटर द्वारा था। कंप्यूटर ने ई को आसान बना दिया था। सभी को मेल करें और उन्हें बताएं कि हम अपने घर फोन का जवाब क्यों नहीं दे रहे थे। यह आपके विचार से अधिक बार होता है। लोग एन कंप्यूटर के माध्यम से संवाद करने के लिए बहुत ईद। काम पर, अगर आपको किसी कर्मचारी या सहकर्मी से बात करने की ज़रूरत है और आप अपनी डेस्क नहीं छोड़ सकते हैं, तो आप उन्हें केवल जानकारी ई-मेल कर सकते हैं। @संख्या2 कर्मचारियों में से @संख्या4 का कहना है कि फोन पर या व्यक्तिगत रूप से उनसे बात करने का विरोध करने के लिए ई-मेल की जानकारी लेना ज्यादा तेज और आसान है। बहुत सारे लोग इस बात से सहमत हैं कि कंप्यूटर जीवन को बहुत आसान बनाता है। कंप्यूटर हाथ से आँख समन्वय सिखाते हैं और वे आपको अन्य लोगों के साथ संवाद करने देते हैं। सबसे महत्वपूर्ण कारण यह है कि कंप्यूटर लोगों को दूर स्थानों और लोगों के बारे में जानने देते हैं। आप कंप्यूटर के बारे में लोगों के महसूस करने के तरीके में अंतर कर सकते हैं। अपने स्थानीय समाचार पत्र को लिखें। अभी नहीं तो कभी नहीं!""",5,5,10
