essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
1,2,"पुस्तकों, संगीत और पत्रिकाओं जैसे पुस्तकालयों से हटाए जाने वाले कुछ सामग्रियों को पुस्तकालयों से हटाया नहीं जाना चाहिए। यह लोगों को यह समझने का मौका देता है कि वास्तविक दुनिया @नाम2 कैसे है। निश्चित सामग्री जैसे कि किताबें और संगीत को निश्चित रूप से हटाया नहीं जाना चाहिए, क्योंकि अधिकांश किताबें और संगीत अधिकांश लोगों को दिखा सकते हैं कि पुस्तक @नाम2 में कथन कितना बुरा है या गीत में गीत कितना बुरा है, और उस व्यक्ति से बचने में मदद करें पाठक या श्रोता को कह रही पुस्तक @ नाम2 की बात। लोगों को कम से कम कोशिश में हर तरह का संगीत देना चाहिए और हमेशा इस बात पर संदेह नहीं करना चाहिए कि लोग उस प्रकार के संगीत के बारे में क्या कहते हैं। मैं हमेशा लोगों को यह कहते हुए सुनता हूं कि बैंड @व्यक्ति 1 बजे कितना बुरा है। @नाम2, सिर्फ इसलिए कि गीत में यह दवाओं के बारे में बात करता है और प्रत्येक गीत को कितना कोसता है। वास्तव में बैंड @नाम2 एक आदमी के जीवन के बारे में बात कर रहा है और कैसे वह अपने जीवन को एक ड्रग एडिक्ट होने से बदल देता है जिसमें कोई भी सबसे अच्छा जीवन जी सकता है। लोगों ने हमेशा उस पर संदेह किया और कभी अपने संगीत को मौका नहीं दिया। एक और उदाहरण होगा @ व्यक्ति1 की पुस्तक, '@नाम1 @नाम2 @नाम3 @नाम4' इसके लिए नशीली दवाओं की लत, बेघर लोगों के बारे में बात करता है, जो ऐसे लोगों के साथ पैदा हुए हैं, जो विक्षिप्त हथियारों के साथ पैदा हुए हैं या यहां तक ​​कि किसी ने अपने पैर खो दिए हैं, और बता रहे हैं कि प्रत्येक सुंदर और कैसा है उनमें से सभी वास्तव में हैं। उनकी किताब ने मुझे कुछ चीजें सिखाईं और मुझे लोगों के बारे में अलग सोचने का मौका दिया। इससे कोई फर्क नहीं पड़ता कि वे कैसे दिखते हैं या कैसे बात करते हैं, इससे कोई फर्क नहीं पड़ता कि, वह व्यक्ति @नाम2 सुंदर है। जहां तक ​​पिछले कुछ वर्षों में फिल्मों और पत्रिकाओं की बात है, मुझे लगता है कि यह भी पुस्तकालयों से नहीं लिया जाना चाहिए। मुझे लगता है कि मैं किताबों और संगीत के बारे में कैसा महसूस करता हूं, उसी कारण से @नाम1। बेशक हम फिल्मों के पूर्वावलोकन देखते हैं और सोचते हैं कि वे @महीना1 अच्छे नहीं हैं, लेकिन पुस्तकालयों को उन्हें बाहर नहीं रखना चाहिए। फिल्में @नाम2 एक शानदार तरीका है, यह जानने के लिए कि दूसरों के साथ कैसे व्यवहार करें और अन्य लोगों के आसपास कैसे कार्य करें, जब आप नहीं जानते कि कैसे कार्य करना है। यदि आप उन लोगों के आसपास अलग-अलग तरीके से कार्य करते हैं जो आप पहले कभी नहीं रहे हैं, तो आप शर्मिंदा महसूस कर सकते हैं या शायद @नाम4 भी प्राप्त कर सकते हैं। फ़िल्में लोगों को वास्तविक दुनिया के बारे में जानने में मदद कर सकती हैं कि हम उस प्रकार की चीजों को कैसे कर सकते हैं जैसे हम बड़े होते हैं। वही पत्रिकाओं के साथ चला जाता है, वे लोगों को यह देखने में मदद करते हैं कि क्या नहीं करना है या उन्हें कुछ ऐसा करने के परिणामों को समझने में मदद करनी चाहिए जो नहीं किया जाना चाहिए। एक पत्रिका से क्या करना है यह जानना आपके जीवन को बचा सकता है या शायद शायद किसी ने भी जीवन को समाप्त कर दिया। मुझे समझ में नहीं आता है कि क्यों कुछ पुस्तकालय कुछ सामग्रियों पर प्रतिबंध लगाना चाहते हैं ताकि लोगों को उन चीजों को समझने में मदद मिल सके जो किसी के जीवन में घटित होती हैं और उनकी मदद करने के लिए वही गलतियां नहीं करते हैं जैसा कि उस व्यक्ति ने एक बार किया था।",4,4,4
2,2,"समाचार पत्रों में पुस्तकालयों में सेंसरशिप पर अपने विचारों को दर्शाते हुए एक प्रेरक निबंध लिखें। क्या आप मानते हैं कि निश्चित रूप से हटा दिया जाना चाहिए मुझे लगता है कि ऐसा न हो कि हां मुझे लगता है कि किसी भी व्यक्ति को किताब, संगीत, फिल्मों, पत्रिकाओं, आदि में कोई ऐसा व्यक्ति नहीं होना चाहिए, जो कि कोई भी आंदोलन न हो, मुझे लगता है कि अगर आपको ज़रूरत है कि कृपया मुझे लगता है कि सोचें। कोई धन्यवाद नहीं कृपया अगर मुझे आवश्यकता है तो हमें क्यों पता है कि अगर मुझे यह परीक्षा असफल हो जाती है तो मुझे स्नातक करने की आवश्यकता है, कृपया बच्चों को घर पर आने दें कृपया हाँ। हमें एक अभिमानी व्यक्ति होने की आवश्यकता क्यों है कृपया हमें यह करने की आवश्यकता है कि यह क्यों लिखना है क्योंकि आप सबसे अच्छा सिखाते हैं और कभी फेसबुक का मतलब है मेरा पासवर्ड @व्यक्ति1 @संख्या1 है कि मुझे अपने क्षेत्र की आवश्यकता क्यों है एक ही बात लेकिन एक ही समय में अलग-अलग कृपया मुझे पता है कि मुझे पता होना चाहिए कि मुझे वास्तव में मेरे ई-मेल पते की आवश्यकता है @ईमेल1 जो कि मेरा ई-मेल है, कृपया काम करें",1,2,1
3,2,"क्या आपको लगता है कि पुस्तकालयों को अलमारियों से कुछ सामग्रियों को हटा देना चाहिए? लोगों के अलग-अलग जुल्म हैं, अच्छे और बुरे के क्या हैं। मैंने अपने जीवन काल में बहुत सी किताबें पढ़ी और देखी हैं। मैंने लोगों को यह कहते हुए सुना, 'ओह डोंट रीड दैट बुक इट ए बैड बुक। लेकिन क्या मैं खुद से पूछूंगा, @नाम2 क्या मुझे पता है कि यह एक खराब किताब है जब मैंने इसे मौका नहीं दिया?' @नाम1 कुछ किताबें, संगीत, फ़िल्में और पत्रिकाएँ हैं @नाम1 जो आक्रामक हैं। फिर भी हम उन्हें पढ़ना, सुनना, देखना और देखना चाहते हैं। यदि हमने सभी आक्रामक पुस्तकों को हटाने की कोशिश की, तो पुस्तकालयों से हमारे पास अलमारियों पर कुछ भी नहीं बचा होगा। कैथरीन पैटर्सन ने कहा, 'अगर मेरे पास उस किताब को उस शेल्फ से हटाने का अधिकार है जो मैं काम करता है- तो आपके पास भी बिल्कुल वही अधिकार है और ऐसा ही हर किसी के पास है। और फिर हममें से किसी के लिए भी हमारे पास शेल्फ पर कोई किताब नहीं बची है। ' कैथरीन पैटर्सन अपनी बोली से एक महान बिंदु बनाती हैं। अगर कुछ लोगों को आपत्तिजनक लगे तो हमें एक किताब को क्यों हटाना चाहिए? अपने आप से फिर से सवाल पूछें, '@नाम2 क्या आपको पता है कि यह एक बुरी किताब है जब आपने इसे मौका नहीं दिया है?' @नाम3' आप क्या सुनते हैं एक पुस्तक का न्याय। पता करें कि आपका अपना उत्पीड़न क्या है
",2,3,2
4,2,"@तारीख1 की दुनिया में, कई चीजें आक्रामक पाई जाती हैं। आपत्तिजनक क्या है और क्या नहीं, इस पर सभी की अपनी राय है। कई माता-पिता परेशान हो रहे हैं क्योंकि उन्हें लगता है कि उनके बच्चे ऐसी चीजें देख रहे हैं जो उन्हें नहीं करनी चाहिए। अन्य लोग परेशान हैं क्योंकि उन्हें लगता है कि पुस्तकालय अपनी संस्कृति या जीवन के तरीके को बंद कर रहे हैं। यहां तक ​​कि इसे चरम पर भी ले जाया जाता है, जहां लोग इससे बचने के लिए पुस्तकालयों पर सेंसरशिप चाहते हैं, जो गलत है। कुछ लोग पुस्तकालयों में सामग्री के बारे में चिंतित हो रहे हैं। वे इन चीजों को आपत्तिजनक पाते हैं। हर कोई अपनी राय के हकदार है, लेकिन वास्तव में कोई भी कुछ भी नहीं है अगर कोई नाराज हो सकता है। दुनिया एक सार्वजनिक जगह है और हर जगह हम जाते हैं, कुछ आक्रामक हो सकता है। पुस्तकालय अध्ययन के लिए एक जगह है। यह कभी किसी को अपमानित करने, या दुनिया को खराब करने का इरादा नहीं है। यह बस सूचित करने के लिए एक जगह है, और यदि कोई व्यक्ति जो कुछ भी देखता है उससे नाराज होता है, तो उन्हें पुस्तकालय से दूर रहना चाहिए। मैं कई बार पुस्तकालय में गया हूं, जिनमें से किसी को भी मैंने कभी भी आक्रामक नहीं देखा। लाइब्रेरी में मैंने जो कुछ भी देखा है, वह सीखने और शोध के लिए है। पुस्तकालय में कुछ खंड हैं। यदि कोई अभिभावक अपने बच्चे को कुछ देखकर नहीं चाहता है, तो उन्हें अपने बच्चे को बच्चों के अनुभाग में रखना चाहिए। मैं आपको आश्वस्त कर सकता हूं कि बच्चों के अनुभाग में कुछ भी अप्रिय नहीं है, या फिर पुस्तकालय उस अनुभाग में नहीं होगा। इन पुस्तकालयों के मालिकों को पता है कि लोगों को क्या परेशान करना है और क्या नहीं होगा। यदि पुस्तकालय में वास्तव में आपत्तिजनक सामग्री थी, तो उन सामग्रियों को बाहर निकाल दिया जाएगा। इसके अलावा, यदि कोई व्यक्ति शिकायत करता है, और सामग्रियों को हटा दिया जाता है, तो यह किसी और के मौका को कम कर सकता है जिससे उन्हें आवश्यक सामग्री मिल सके। एक व्यक्ति सोच सकता था कि सामग्री आक्रामक है, लेकिन कोई और इसके बारे में अधिक जानना चाह सकता है। यदि कोई एक निश्चित सामग्री से नाराज है, तो उन्हें बस इतना करना चाहिए, यह नहीं दिख रहा है। पुस्तकालय की तुलना एक बड़े कंप्यूटर से की जा सकती है। कोई मूल रूप से वहां कुछ भी पा सकता है। पुस्तकालय को अपनी सामग्रियों को सेंसर करने के लिए कहना इंटरनेट को सेंसर करने के लिए कहने जैसा है। यह सीखने और शोध का एक तरीका है और वहां सब कुछ सेंसर करना लगभग असंभव होगा। हर कोई अपने जीवन में किसी न किसी बात से नाराज होने वाला है। यदि पुस्तकालयों ने सब कुछ हटा दिया जो किसी को रोक सकता है, तो उनके पास कोई सामग्री नहीं होगी। लोगों को इतनी आसानी से नाराज होने से रोकने की जरूरत है और एहसास है कि पुस्तकालय किसी को नुकसान पहुंचाने की कोशिश नहीं कर रहा है। पुस्तकालयों में किसी भी सेंसरशिप की आवश्यकता नहीं है। यह बस लोगों को दुनिया के बारे में सिखाने की कोशिश कर रहा है और उन्हें पुस्तकों, संगीत, फिल्मों का आनंद लेने के लिए, या जो कुछ भी पुस्तकालय में जाना चाहिए, उसे पाने के लिए।
",4,4,4
5,2,"जीवन में आपके पास आपत्तिजनक चीजें ’होती हैं। थोड़ा सामान जो हमारी त्वचा के नीचे मिलता है और हमें खा जाता है। नहीं, यह आसान नहीं है, लेकिन ये चीजें आपको मजबूत बनाएंगी। कभी-कभी ऐसी किताबें, पत्रिकाएं, संगीत और फिल्में आती हैं, जो हमें प्रभावित करती हैं। एकमात्र कारण जो हमें अप्रिय लगता है क्योंकि विषय या तो हमारे व्यक्तित्व को दर्शाता है, या हमारे जीवन को। यह लेखकों की गलती नहीं है, वे लिखते हैं कि वे क्या महसूस करते हैं और सच्चाई क्या है। ठीक है, इसलिए लाइब्रेरियां किताबों, फिल्मों, संगीत आदि से भरी होती हैं। आप किताबों को सिर्फ अलमारियों से नहीं निकाल सकते हैं, सिर्फ इसलिए कि उन्होंने आपको बंद कर दिया है। अन्य लोग @महीना1 उस पुस्तक को पसंद करते हैं जिससे आप घृणा करते हैं। लाइब्रेरी में और भी किताबें हैं जिन्हें आप पढ़ सकते हैं। एक और कारण लोगों को आपत्तिजनक सामग्री को पुस्तकालय से बाहर नहीं निकालना चाहिए; यह आहत करेगा कि कंपनी की पुस्तक प्रकाशित हुई और लेखक भी। लेखक और प्रकाशक इतना पैसा खो देते हैं क्योंकि पुस्तकालय वहाँ किताबें, पत्रिकाएँ, फिल्में बेचता है। वे अपने उत्पाद की हजारों प्रतियां बनाते हैं, जिसमें पैसा लगता है। इसलिए अपने पैसे वापस करने के लिए, वे हजारों बुक स्टोरों को बेचते हैं। आपत्तिजनक सामग्री की दुनिया की आंखें खोलनी चाहिए। दुनिया में क्या चल रहा है, यह देखने की जरूरत है। किताबें, अखबार एक विषय के बारे में सच्चाई बताते हैं। अब लेखक का इरादा आपको चोट पहुँचाना नहीं है बल्कि आपकी मदद करना है। क्यों दुनिया अधिक खुला नहीं हो सकता? मुझे पता है कि मैंने अपने जीवन में किताबों को पढ़ा है, पहली बार में, किताब ने मुझे नाराज कर दिया। मैं इतना पागल हो जाता, मैं किताब नीचे रख देता और चल देता। लेकिन तब, मेरी आँखें खुल जातीं और यह मुझे मार देता। किताब से बाहर आक्रामक भाग ने खुद को एक नई समझ देने में मदद की। मैं जिन विचारों का उपयोग करता था, वे चले जाते थे। यह अजीब है कि आप कैसे फाइनल में खुलते हैं, और आपका जीवन बदल जाता है। कुछ लोगों को यह कागज आक्रामक भी लग सकता है। लेकिन अगर कोई भी आपके पैर की उंगलियों पर कदम रख रहा है, और आपकी त्वचा के नीचे हो रहा है तो आप कभी भी नहीं बदलेंगे। ऑफेंडेड एक शब्द है जिसका उपयोग हल्के ढंग से किया जाता है; हां, लोग इसका भरपूर उपयोग करते हैं लेकिन क्या वे वास्तव में इसका मतलब निकालते हैं। कुछ लोगों को 'अच्छी तरह से इस पुस्तक मुझे कीड़े' का उपयोग करने की आवश्यकता है। अपने बारे में होना बंद करो और उस पर काबू पाओ। चिंता करने और आहत महसूस करने के लिए जीवन छोटा है। हर एक किताब, पत्रिका, फिल्म और संगीत को अकेला छोड़ना होगा। वे सामग्रियां @महीना1 अन्य लोगों के जीवन को दर्शाती हैं और दूसरों की मदद करती हैं। ' बस एक और किताब पढ़ें, या एक अलग चाल देखें। कृपया स्वयं से कुछ भी न निकालें, क्योंकि यह केवल अधिक नुकसान करेगा
",4,4,4
6,2,"पुस्तकों, संगीत, फिल्मों और पत्रिकाओं में सामग्री के कारण आज बहुत से @नाम3 सेंसर किए गए हैं। मुझे लगता है कि यह निश्चित हो सकता है यदि आपके पास कुछ निश्चित अनुभाग हैं, @नाम1 @नाम2, और @नाम3 की सेंसरशिप पर मेरे विचार। यहाँ समस्या को ठीक करने का मेरा विचार है। मैं समझता हूं कि पुस्तकें और अन्य सामग्री @महीना1 कुछ लोगों को अपमानित करती है, लेकिन यह दूसरों को अपमानित नहीं कर सकती है। यही कारण है कि मुझे लगता है कि @ नाम3 में उन चीजों के लिए एक कमरा होना चाहिए जो कुछ लोगों को नाराज कर सकते हैं। संकेत को यह कहना चाहिए कि इसमें क्या सामग्री है ताकि लोग कमरे से दूर रह सकें। बच्चों के लिए अलग कमरे हो सकते हैं। इसमें बच्चों की किताबों, फिल्मों, संगीत और पत्रिकाओं के अलावा कुछ नहीं है। यह एक महान विचार है क्योंकि आपका बच्चा खराब सामग्री के लिए खुला नहीं होगा। यह मुझे मेरे अगले विषय पर लाता है। 'खराब सामग्री' कक्ष में प्रवेश करने के लिए आपको एक निश्चित @नाम1 होना चाहिए। मुझे नहीं लगता कि लाइब्रेरी स्टाफ या उनके माता-पिता चाहते हैं कि एक पांच साल का लड़का सेक्स, ड्रग्स और शराब से निपटने वाली किताब की जाँच करे। जिससे लाइब्रेरी को काफी परेशानी हो सकती थी। @नाम1 @नाम2 कमरे में प्रवेश करने के लिए @ नाम1 के @संख्या1 वर्ष हो सकते हैं। जो काफी उचित लगता है। आपकी पुरानी सामग्री को संभालने में सक्षम होने के लिए पर्याप्त है। मुझे आसानी से बुरा नहीं लगा, इसलिए मैं कुछ भी पढ़ सकता हूं। जैसा कि मैंने पहले लेख में सुझाव दिया था, बुरी सामग्री को एक कमरे में ले जाना चाहिए ताकि लोग गलती से उसके पार न आएं। मुझे किसी भी चीज और हर चीज के बारे में पढ़ना पसंद है, इसलिए मैं चीजों को पढ़ना पसंद करूंगा और अपना ध्यान आकर्षित करूंगा। उस तरह की किताबें आमतौर पर बुरी चीजों से निपटती हैं। मैं इसके साथ ठीक हूं, लेकिन मैं समझता हूं कि अन्य नहीं हैं। अलग कमरे, @नाम1 सीमाएं, और मेरे विचार सभी अच्छे विचार हैं। शायद एक पुस्तकालय मेरे लेख के पार आ जाएगा और मैंने जो कहा है वह करूँगा। मुझे लगता है कि यह बहुत ही समृद्ध होगा। मुझे उम्मीद है कि भविष्य में इसे देखना शुरू करूंगा
",4,3,4
7,2,"यदि आपकी पसंदीदा पुस्तक को आपके विद्यालय या सार्वजनिक पुस्तकालय की अलमारियों से निकाल लिया गया तो कैसा लगा @नाम4? मैं, कई अन्य छात्रों के साथ, @नाम4 को यह हतोत्साहित और परेशान करने वाला लगता है, इसलिए मुझे विश्वास नहीं है कि सेंसरशिप को उन पुस्तकों को प्रभावित करना चाहिए जो अलमारियों पर हैं। अन्यथा, पढ़ने का एक ध्वस्त प्रेम, कुचल व्यक्तित्व और अलग आबाद महीना1 पैदा हो। @व्यक्ति1 द्वारा प्रिय @व्यक्ति2 @व्यक्ति3 श्रृंखला की तरह, कई पुस्तकों और श्रृंखलाओं को पुस्तकालयों के संग्रह से निकाला जा रहा है, क्योंकि समाज में लोग उन्हें अपमानजनक पाते हैं। इस मामले में, जादू टोने की दुनिया जिसमें यह कहानी खिलती है, कुछ धार्मिक मान्यताओं के खिलाफ है; इसलिए, इन पुस्तकों पर प्रतिबंध लगाने के लिए एक धर्म अभियान के भीतर कुछ व्यक्तियों। सौभाग्य से, कोई भी पुस्तकालय जो मैं नहीं जाता हूं, उनके उदार संग्रह के साथ, इस श्रृंखला पर प्रतिबंध लगा दिया था, या @नाम4 के पास साहित्य की मजबूत प्यास नहीं है जैसा कि मैं अब करता हूं। सभी पुस्तकों में पढ़ने की अद्भुत दुनिया में एक छात्र को खींचने की क्षमता होती है, जैसे @व्यक्ति2 ने मेरे लिए किया, इसलिए उन पुस्तकों को लेना जो सबसे अधिक रुचि जगाते हैं या रचनात्मकता की आतिशबाजी शुरू करते हैं @नाम4 न केवल इस पीढ़ी को प्रभावित करते हैं, बल्कि सभी का वायदा। अगर इस सेंसरशिप को अनुमति दी जानी थी, तो यह कहना कि सभी को सेंसर किया जा सकता है क्या? कौन @नाम4 अंतिम जज बन सकता है क्योंकि @ नाम4 को किन पुस्तकों पर प्रतिबंध लगाया जाना चाहिए? यह @नाम4 सभी सत्ता में आते हैं और जो इसे लेने के लिए पर्याप्त इच्छुक थे। शीर्ष पर होने के इस संघर्ष में राजनीतिक दलों के अलावा लोगों को अलग करने की संभावना है। असहमति बहस में बदल सकती है, और वे झगड़े में बदल सकते हैं। यह निष्कर्ष निकाला जा सकता है कि लोग अपनी मान्यताओं के लिए जिद्दी हैं, और किसी को यह चुनने के लिए कि क्या सभी को विश्वास करने की अनुमति है @नाम4 गलत है। उदाहरण के लिए, यह @नाम4 @नाम1 को @नाम3 पर विश्वास न करने के लिए मजबूर करने वाले @नाम1 की तरह हो; एक शाकाहारी आदेश है कि मांस अब नहीं खाया जा सकता है; पुरुषों के मतदान के अधिकार को छीनने वाली महिला। सेंसरशिप @नाम4 दूसरे के विचारों का अनादर करता है, और अनादर कभी भी लाभकारी चीज नहीं है। प्रत्येक व्यक्ति की आपत्तिजनक है या नहीं, इस पर अलग-अलग राय है, इसलिए सेंसरशिप की पुस्तकों @नाम4 को सभी व्यक्तिगत मानसिकता को सेंसर करना चाहिए। प्रत्येक व्यक्ति के अद्वितीय विचारों और विश्वासों के बिना, दुनिया @नाम4 अनजाने में नीरस और नीरस हो जाती है। मान्यताओं में अंतर वह है जो आबादी में विविधता जोड़ता है और जो किसी व्यक्ति को विशेष बनाता है; इसके अतिरिक्त, स्वतंत्र विचार एक अधिकार है जो सभी लोगों के पास होना चाहिए। अगर किसी को दुनिया में मानसिक, साहित्यिक उत्तेजक चीजों को सीमित करना था, तो रचनात्मकता और व्यक्ति की मात्रा @ नाम4 कम हो जाती है। निष्कर्ष निकालने के लिए, सेंसरशिप @ नाम4 व्यक्तिवाद, व्यक्तिगत मान्यताओं और एक अच्छी किताब पढ़ने के समग्र आनंद का अनादर हो। सिर्फ इसलिए कि कोई इस बात पर विश्वास नहीं कर सकता है कि कहानी क्या कहती है, इसका मतलब यह नहीं है कि साहित्य के टुकड़े को मना किया जाना चाहिए। किसी पुस्तकालय में सैकड़ों अलमारियों को अनुग्रहित करने वाली पुस्तकों को पढ़ने के लिए किसी को मजबूर नहीं किया जा रहा है, इसलिए यदि कोई नाराज है, तो बस उसे न पढ़ें। तो कैसे @नाम4 आपको लगता है कि आपकी पसंदीदा पुस्तक सभी पुस्तकालयों से चली गई थी? अपमान? इस तरह से मैं @नाम4 महसूस करता हूं",5,5,5
8,2,"क्या आपको लगता है कि आपको किसी लाइब्रेरी की शेल्फ से सर्टिफिकेट मटीरियल लेने में सक्षम होना चाहिए, क्योंकि किसी को यह आपत्तिजनक लगता है? यहाँ कुछ उदाहरण हैं जो मैं अपने सिर के ऊपर से बस के बारे में सोच सकता हूं। किताबें, फिल्में, संगीत, पत्रिकाएँ, या यहाँ तक कि कंप्यूटर की अधिकता। इसलिए अगर आप बुरा न मानें तो एक अच्छे आरामदायक स्थान पर वापस जाएं, क्योंकि यहां हम जाते हैं। तो क्या आपने इच्छा जताई है कि आप उन्हें अपने स्थानीय परिवाद या यहाँ तक कि अपने स्कूल के पुस्तकालय के बारे में क्या सोचते हैं। हम जो मैं इस बारे में सोचते हैं, उसे लेकर आया हूं। किसी तरह से हाँ, लेकिन अन्य तरीकों से नहीं। एक उदाहरण के लिए मैंने शर्त लगाई कि मेरे स्कूल के पुस्तकालय में पुरानी किताबें सही हैं, जिन्हें लंबे समय से उठाया भी नहीं गया है, सिर्फ इसलिए कि वे पुरानी हैं और ओवर डेट से बाहर हैं। कारण है कि मैं कहता हूं कि उन्हें एक पुस्तकालय के शेल्फ से नहीं निकाला जाना चाहिए। खैर बस कुछ लोगों को लगता है कि यह आक्रामक है, इसका मतलब यह नहीं है कि यह होल लाइब्रेरी में लगभग सबसे लोकप्रिय किताब नहीं हो सकती है। जो व्यक्ति उस पुस्तक को पसंद करता है, वह यह पा सकता है कि जिस कवि को पुस्तक अपमानजनक लगी, वे पुस्तक दूसरे व्यक्ति को अपमानित कर रहे होंगे। इसलिए यदि आप इसके बारे में सोचते हैं, तो आपके पास हमेशा यह कविता होगी कि आप जहां जाते हैं, वहां किसी चीज के बारे में शिकायत करना पसंद करते हैं। मैंने अभी एक उदाहरण सामने रखा है जो मैंने देखा है। मैं एक समय एक पुस्तकालय में था और वहाँ लोगों के लिए ये रास्ता था। एक शिकायत कर रहा था कि कैसे खेत की किताबें कभी गड़बड़ नहीं होतीं। फिर दूसरा लड़का उस लाइब्रेरी के फार्म सेक्शन में मौजूद किताबों में से दो के साथ चला गया। इसलिए लाइब्रेरियन सिर्फ उन सभी सूचनाओं को ले रहा है जो उस समय के दौरान दो लोगों को बेचैन कर रही थीं। इस सब के दौरान मैं सिर्फ पांच फीट का था, जिस काउंटर पर ये लोग थे। तो फिर उस लड़के के बारे में बात की गई थी कि किस तरह से फ़ार्म की किताबों को उस शेल्फ से खींचा जाना चाहिए जो उसने लाइब्रेरियन से पूछा था कि किताबें स्पेसशिप पर कहाँ थीं। फिर वह आदमी जो खेत की किताबें प्राप्त कर रहा था, ने कहा कि आपको वास्तव में उन्हें शेल्फ से बाहर ले जाना चाहिए क्योंकि उन्होंने सालों से उस रास्ते पर किसी को नहीं देखा है। तो बस आपको यह बताना है कि यदि आप एक किताब, कुछ संगीत, या किसी भी अन्य विचार को लेना चाहते थे, जो आपको एक पुस्तकालय में मिल सकता है, तो बस संभावना है कि वे जहां हैं, वहां रहें, क्योंकि पुस्तकालय ने उन्हें किताबें या कोई भी एक कारण के लिए अन्य सामान की। इसका कारण यह है, क्योंकि आप कभी नहीं जानते कि कोई व्यक्ति उस दरवाजे से चलकर बस उस अकेली किताब, मैगीज़ेन, मूवी की तलाश में आ सकता है, या बस कंप्यूटर पर आने की आवश्यकता है। अच्छी तरह से जानते हैं कि आप शायद उन कारणों को सुनकर थक गए हैं, जिनके बारे में मुझे लगता है कि कोई किताब या कोई अन्य चीज़ शेल्फ से नहीं हटनी चाहिए। अब आपको यह बताने का समय आ गया है कि क्यों उन्हें अपनी स्थानीयता में उस स्थानीय पुस्तकालय की शेल्फ से बाहर निकलना चाहिए। यदि किसी पुस्तक को वास्तव में क्षतिग्रस्त कर दिया गया हो, तो मुख्य कारण कुछ चीज़ों को स्थानीय पुस्तकालय या स्कूल पुस्तकालय की शेल्फ से खींच लिया जाना चाहिए। एक उदाहरण के लिए मैं अपनी काउंटी के पुस्तकालयों में से एक रहा हूं और उन्होंने वहां एक किताब रखी थी कि किताब का पिछला कवर पूरी तरह से फट गया था। यह बुरा है कि उनके पास वहाँ पर शेल्फ होगा, सिर्फ इसलिए कि वहाँ पुस्तकालय जाने के लिए एक ट्रैश किए गए स्थान की तरह दिखता है। एक और कारण है कि शेल्फ से कुछ खींचा जाना चाहिए अगर किताब समर्थित दवाओं है। जैसे अगर कोई ऐसी किताब थी जिसके बारे में कोई दवा कर रहा था और वे उनसे लड़ गए और मुझे फोन करने पर उन्हें 'कलाई पर एक थप्पड़' पड़ गया। कलाई पर एक थप्पड़ तब होता है जब आप किसी चीज के लिए मुसीबत में पड़ जाते हैं और आप किसी परेशानी में नहीं पड़ते हैं, बस आपको अपने माता-पिता को सौंप दिया जाता है। मुझे लगता है कि 'कलाई पर सिर्फ एक थप्पड़' कहने का मतलब है। तो सभी में और अधिक होने की संभावना है कि पुस्तक को संभवतः शेल्फ पर रहना चाहिए। जैसा कि मैंने पहले इस निबंध में कहा था, आपके पास हमेशा ऐसे लोग होंगे जो आपकी हर छोटी-बड़ी बात के बारे में शिकायत करना पसंद करते हैं। जो मैंने ज्यादातर सीखा है कि राज्य ट्रैक्टर पुलिंग क्लब से। इसलिए मुझे आशा है कि मैंने आपका अधिक समय नहीं लिया है। इसलिए अगली बार जब आप किसी पुस्तकालय में हों और आप एक किताब देखें और आपको लगता है कि आदमी को उस पुस्तक को शेल्फ से निकालने की आवश्यकता है, तो बस इस निबंध को देखें",2,3,2
