essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
1,3,सेटिंग की विशेषताएं साइकिल चालक को कई तरह से प्रभावित करती हैं। साइकिल चालक को प्रभावित करने वाली सेटिंग की विशेषतए इस बात की जानकारी है कि जाने के लिए और पानी की कमी थी। यह एक समस्या थी क्योंकि उन्हें अपनी यात्रा के लिए पानी की आवश्यकता थी और दिशाओं को जाना था।,3,2,3
2,3,"सेटिंग की सुविधाओं ने साइकिल चालक को नकारात्मक तरीके से प्रभावित किया। वह रेगिस्तान में था, जो सूखा और गर्म है। ""मैं जून में कैलिफोर्निया के उच्च रेगिस्तान के माध्यम से यात्रा कर रहा था।"" (कुर्मस्की @संख्या1)। इसके अलावा, तापमान गर्म था और उसके चारों ओर हर चीज को गर्म बना दिया था, ""दो सौ डिग्री के पड़ोस में कहीं पानी का खारा होना"" (कुर्मस्की @संख्या1)। चूंकि वह रेगिस्तान में था, इसलिए सूरज से कोई बचा नहीं था। पाठ में कहा गया है, ""सूर्य नीचे को हरा करने लगा था"" (कुर्मस्की @संख्या3)। साइकिल चालक सड़क पर बिल्कुल अकेला था, उसके आस-पास कोई भी नहीं था ताकि वह बाहर निकल जाए, कोई भी उसकी मदद न कर सके। ""और बढ़ते अहसास कि मैं जून में एक भयावह दिन हीटस्ट्रोक से गिर सकता हूं"" (कुर्मस्की @संख्या1)। ""पेडल में लगभग चालीस मील, मैं पहले 'शहर' में पहुंचा था लेकिन उस सुबह यह एक भूत शहर की पारंपरिक परिभाष में फिट था।"" (कुर्मस्की @संख्या3)। साइकिल चालक जो सवारी कर रहे थे, वे अच्छे नहीं थे और इसलिए उन्होंने उन्हें नकारात्मक रूप से प्रभावित किया; जिससे वह निर्जलत हो जाए और अंत थक जाए।",1,1,1
3,3,"हर कोई अपरिचित स्थानों की यात्रा करता है। कभी-कभी हम खो जाते हैं और स्थानीय लोगों से दिशा-निर्देश मांगते हैं जो @महीना1 एक अच्छा विचार नहीं है। सेटिंग ने साइकिल चालक को प्रभावित किया। उनके पास पूरी तरह से अच्छा नक्शा था, लेकिन उन बूढ़े लोगों से पूछा जो ऐसे दिखते हैं जैसे वे उम्र में बाहर नहीं थे। बूढ़े लोग स्पष्ट रूप से बाहर नहीं निकले क्योंकि उन्होंने साइकिल चालक को गलत निर्देश दिए थे। मेरी सलाह होगी कि आप किसी के साथ कोई भी बात न सुनें अगर आपकी उम्र आपके साथ पूरी तरह से अच्छी हो। यह भी जानने की कोशिश करें कि आप हर समय कहाँ जा रहे हैं। ""जी श्रीमान!",2,2,2
4,3,"मेरा मानना ​​है कि साइकिल चालक की सुविधाओं ने उसे प्रभावित किया क्योंकि वह अधीर था और भरोसेमंद था कि वह एक बूढ़े आदमी को सलाह देता था कि वह एक छोटी बिल्ली लेकर अपने समय की एक घंटा ले, यदि वह लगभग पूरी तरह से तैयार नहीं होता तो वह खच्र के लिए सही रहता। गर्मी की वजह से लेकिन उसकी अधीरता का उसे सबसे अच्छा मिला इसलिए उसने शॉर्कट ले लिया। अपने अनुभव के बाद उन्होंने कहा कि नए हेस स्टेट करने के लिए ?? एमईपी और उन लोगों पर भरोसा नहीं करना चाहिए जिन्होंने पिछले कुछ वर्षों में बदलव देखे हैं।",1,1,1
5,3,"सेटिंग के कारण साइकलिस्ट पर प्रभाव पड़ता है, इसकी वजह यह थी कि कहानी कुछ समझ में नहीं आएगी। कहानी की सेटिंग भयावह भूत शहरों के साथ नहीं है और सूखी है। जब वह पहले ""शहर"" में पहुँचता है, तो वह देखता है कि ""एक रामशकल में कई जंग खाए हुए पंप और एक मूंगा होता है जो कि लोमेश खच्चर को पकड़ नहीं सकता है।"" अगर सेटिंग में पानी की समस्या होती, तो कहानी में कोई संघर्ष नहीं होता, ""कहानी में स्पाइकर कहता है"" मैं कैलिफोर्निय के उच्च रेगिस्तानों से गुजर रहा था ""जो बहुत गर्म और शुष्क हैं, और वह कहते हैं"" यह कारण यदि यह सटिंग @दिनांक1 में एक जंगल था तो इसके गर्म और शुष्क होने की समस्या है, उसे पानी की इतनी अधिक समस्या नहीं होगी, जो कहानी को बहुत कम रोमांचक बना दे।",1,1,1
6,3,"सेटिंग की कई विशेषताएं थीं जो साइकिल चालक को प्रभावित करती थीं। उदाहरण के लिए, यह बेहद गर्म और सूखा था। इसके अलावा यह लगभग सुनसान था, लगभग सभी स्थानों पर वह पार हो गया था, वे सुनसान थे। सेटिंग की अपनी विशेषताओ को खो दिया था एक राम झोंपड़ी शेड, कई जंग खाए हुए पंप, और एक कोरल जो कि सबसे लम्बी चाल में कैलडेंट हलन है। सुविधा आपको दे रही है अगर साइकिल चालक को लगता है कि एक विचार है।",2,2,2
7,3,"सेटिंग की कई विशेषताए थीं जो साइकिल चालक को प्रभावित करती थीं। उदाहरण के लिए, यह बेहद गर्म और सूखा था। इसके अलावा यह लगभग सुनसान था, लगभग सभी स्थानों पर वह पार हो गया था, वे सुनसान थे। सेटिंग की अपनी विशेषताओं को खो दिया था एक राम झोंपड़ी शेड, कई जंग खाए हुए पंप, और एक कोरल जो कि सबसे लम्ब चाल में कैलडेंट हलन है। सविधा आपको दे रही है अगर साइकिल चालक को लगता है कि एक विचार है।",1,1,1
8,3,जब वह दिशाओं के लिए रुका तो साइकिल चालक एक टॉवर के माध्यम से सवारी कर रहा था। इन बूढ़े लोगों ने उससे कहा कि वह शॉर्ट कट ले और उसने किया और हार गया। वह रेगिस्तान में एक भूत शहर में था। निष्कर्ष में रेगिस्तान गर्म है।,1,1,1
9,3,"साइकिल चालक का प्रभाब यदि यह नहीं बदलता है। इसने बहुत सारे लोगों को महसूस करने में कटौती की क्योंकि वे @नाम1 साइकिल चालक की परवाह नहीं करते हैं। मैं उन लोगों में से एक हूं जो इसकी परवाह नहीं करते हैं क्योंकि यह मुझे या किसी को भी नहीं जानता है। लोगों के लिए लिखना बहुत बड़ी बात है, उनमें से कुछ @नाम1 उड़ा सामान। वे टीबी पर बात कर रहे हैं और रेडियो पर यह सब सामान वे कहते हैं बना रहे हैं। मेरा मानना ​​है कि मैं इसे देख रहा हूं। यह @नाम1 काले लोगों के लिए नहीं है क्योंकि इसने हमारे लिए कुछ नहीं किया है। हम वास्तव में साइकिल चालक के प्रभावों के बारे में परवाह नहीं करते हैं।",0,0,0
10,3,"""रफ रोड अहेड: डोंट नॉट एक्जेड पोस्टेड स्पीड लिमिट"" निबंध में कैलिफोर्निया के माध्यम से एक आदमी की साइकिल की सवारी का वर्णन है। अब, कैलिफोर्निया गर्मियों के दौरान बहुत गर्म है, जो कि जब साइकिल चालक सवारी कर रहा होता है। यह सेटिंग आदमी की यात्रा को बहुत प्रभावित करती है। इससे उनके लिए अपनी सवारी को पूरा करना बहुत मुश्किल हो गया। उन्होंने अपनी सवारी की शुरुआत में अपना अधिकांश पानी पिया ताकि वह बहुत निर्जलित हो जाए। पाठ में कहा गया है, ""पानी की बोतलों में केवल कुछ टैंटलइजिंग घूंट होते हैं।"" जैसा कि आप देख सकते हैं कि सेटिंग इस आदमी के बाइकराइड को बहुत कठिन बना देती है।",2,2,2
