essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
1,4,"लेखक ने इसके साथ कहानी का निष्कर्ष निकाला क्योंकि बगीचे जमीन पर बर्फ के साथ नहीं बढ़ सकते हैं। जब वह सारी बर्फ पिघल जाती है तो वह उसे लगाती है वह एक और बढ़ने की कोशिश करेगी। मुझे लगता है कि अगर वह दूसरे बगीचे को उगाने के लिए पर्याप्त खुश नहीं थी, तो मुझे लगता है कि उसे उत्पादकों में अधिक दिलचस्पी लेनी चाहिए, फिर निराशा हुई।
",0,0,0
2,4,"आख्यान में कहा गया है कि पैराग्राफ बीज़्यूज़ के साथ यह सब बनाता है और यह एक साथ जाता है। कथावाचक का कहना है कि जब गिस बाहर निकलती है और हिबिस्कस नवोदित होता है तो यह बहुत अधिक वसंत होता है
",0,0,0
3,4,"लेखक साहिब को हिबिस्कस संयंत्र से प्राप्त प्रेरणा के महत्व को दिखाने के लिए उस मार्ग से कहानी का समापन करता है। लड़की, कहानी के दौरान हिबिस्कस संयंत्र द्वारा दिलासा दिया गया था क्योंकि यह उसे घर की याद दिलाता था। सर्दियों के दौरान संयंत्र रूपक की व्याख्या करता है: @नाम1 उसके नए देश और उसके ड्राइविंग टेस्ट के प्रति रवैया; सर्दियों में हिबिस्कस का पौधा कड़ाके की ठंड में उतना सुंदर नहीं होता है, लेकिन यह पालने और बच जाता है, और वसंत में अपनी खूबसूरत स्थिति में लौट आता है। लड़की अपने नए देश और ड्राइविंग परीक्षण के बारे में कड़वा है, लेकिन आदत डाल रहा है, और वसंत में हिबिस्कस की सुंदर स्थिति से प्रेरित होकर उसे फिर से परीक्षण करने की कोशिश करेगा। अंत में, लेखक ने इस तरह से सैंग और हिबिस्कस संयंत्र के बीच संबंधों में महत्व पर कहानी को समाप्त कर दिया।
",3,2,3
4,4,"लेखक ने इस पैराग्राफ के साथ कहानी को समाप्त कर दिया क्योंकि यह परिवर्तन दिखाता है। बर्फ पिघल रही है जो ठंड से गर्म तक के बदलाव का प्रतिनिधित्व करती है। कुछ नया करने के लिए वापस आने के रूप में कुछ नया जीवन का प्रतिनिधित्व करता है। जैसे लेखक वापस ड्राइवरों के एड में जा रहा है। हिबिस्कस नवोदित है विकास का प्रतिनिधित्व करता है। लेखक पहले से अधिक पुराना और अधिक शूरवीर और अधिक कुशल होगा।
",1,2,2
5,4,"लेखक ""विंटर हिबिस्कस"" के इस पैराग्राफ के साथ कहानी का समापन करता है, क्योंकि यह हमें उन चीजों को वापस ले जाता है जो कहानी में हुई थीं। सैंग पहले टेस्ट में फेल हो गए। वसंत में हिबिस्कस फिर से नवोदित होगा। सांग ने महसूस किया कि जिन चीज़ों के बारे में वह सोचती थीं, उनमें से कई अजीब थीं, अब उनके लगभग परिचित थे। स्नो गीज़ की कॉल उसके लगभग परिचित थे। बर्फ पिघलने से उसे पता चल जाएगा कि यह अब वसंत है। वसंत आने के परिणामस्वरूप कुछ चीजें हो सकती हैं जो @व्यक्ति1 परीक्षण को पार कर जाएंगी। उसकी माँ को उस पर गर्व होगा। इसके अलावा,  अपने नए देश और उसके आसपास के नए और वियतनाम में वापस जीवन के बारे में याद दिलाना बंद करो के लिए एक कस्टम बनने के लिए शुरू हो जाएगा।
",2,2,2
6,4,"लेखक इस पैराग्राफ के साथ कहानी का समापन करता है, क्योंकि लेखक इस बारे में बताना चाहता था कि सेंग दोबारा परीक्षा कब लेगा। लेखक ने वसंत के मौसम के साथ समय बताया। वसंत में सभी सांप पिघल गए थे और गीज़ और हिबिस्कस में नवोदित थे। और यह पैराग्राफ पाठक को समझने में आसान बनाता है। यही कारण है कि लेखक ने इस अनुच्छेद को कहानी में शामिल किया है।
",1,1,1
7,4,"कहानी यह कहते हुए समाप्त हुई कि ""जब वे वापस आते हैं, तो सांग चुपचाप अपने आप से कसम खाता है, वसंत में, जब साँप पिघलता है और गीज़ वापस लौटता है और यह हिबिस्कस नवोदित होता है, तो मैं फिर से परीक्षा लूंगा।"" लेखक इस पैराग्राफ के साथ कहानी समाप्त करता है क्योंकि लड़की एक पौधे पर @संख्या1 खर्च करने के बारे में परेशान है जो उसने महसूस किया था कि वह घर पर पौधे से अलग था। वह कह रही है कि वह एक बार फिर से खरीदने की परीक्षा नहीं ले रही है, जब तक कि गीज़ वापस नहीं आती और हिबिस्कस कली।
",0,0,0
8,4,"मेरा मानना ​​है कि लेखक इस पैराग्राफ के साथ कहानी का समापन करता है क्योंकि पैराग्राफ कहानी को समापन तक लाने में मदद करता है। पैराग्राफ में वह मूल रूप से कह रही है जब गीज़ वापसी और मेरा फूल नवोदित है तो मैं परीक्षा लेने के लिए पर्याप्त तैयार हो जाऊंगी। वह तैयार हो जाएगी क्योंकि वह पर्याप्त रूप से अनुकूलित हो जाएगी और उसने पौधे और गीज़ की तरह पर्याप्त अनुभव किया होगा। वह अपने जीवन की तुलना अपने जीवन की तुलना में कर रही है।
",2,1,2
9,4,"लेखक उस पैराग्राफ के साथ कहानी को समाप्त कर देगा क्योंकि वह परीक्षण से पहले असफल हो गई थी और वह इसे पास करना चाहती है। यह आपको आश्चर्यचकित करता है कि वह इसे पास करेगी या नहीं।
",1,1,1
10,4,"मिनफॉन्ग हो द्वारा ""विंटर हिबिस्कस"" कहानी में, यह एक अच्छी समाप्ति के साथ कहानी का समापन करता है। कहानी में लड़की एक हिबिस्कस खरीदती है जो उसे घर में रहता है। वह घर जाती है और अपनी मां को बताती है कि उसने अपना परीक्षण विफल कर दिया लेकिन पौधे को खरीद लिया। जब वह रोपण कर रही थी, तो उसने भूरा देखा और उसे घर की याद आई। अमेरिका घर जैसा था और वह सबसे ज्यादा खुश थी। पाठ में वह कहती है, ""कई चीजें जो उसने पहले अजीब थीं, बनने के बारे में सोचा था, अब लगभग उससे परिचित है।"" वह परीक्षण को एक और कोशिश देने के लिए तैयार है और इसे पारित करने के लिए निश्चित है। अमेरिका अब घर जैसा महसूस करने लगा है।
",2,2,2
11,4,"लेखक इस पैराग्राफ के साथ कहानी का समापन करता है क्योंकि सांग द्वारा शुरू की गई कहानी परीक्षण में विफल रही, उसे आराम करने और उसकी माँ को कबूल करने के लिए एक पौधा खरीदा। उसकी मातृभूमि की यादों से संबंधित पौधा और जब वह परीक्षण में असफल रही तो वह बहुत उदास और उदास महसूस करने लगी। वह अपना दर्द दिखाने के लिए रोई, और उसे खुश करने के लिए एक पौधा खरीदा। जैसा कि उसने अपनी माँ को बताया कि उसे फिर से दर्द महसूस हुआ लेकिन, उसकी माँ ने उसका पसंदीदा भोजन बनाया और उसके पौधे को लगाने में मदद की। वह जानती थी कि यह पुराने पौधे की तरह नहीं था, लेकिन यह सोच और यादें थीं जो उसे पता था कि वह अभी हार नहीं सकती है, इसलिए जब वह सही समय आया तो वह फिर से परीक्षण का प्रयास करने जा रही थी। यह संबंधित है क्योंकि यह पाठकों को कहानी को थोड़ा बेहतर समझने में मदद करता है और दिखाता है कि वह सिर्फ छोड़ने के लिए नहीं जा रही थी। उसकी माँ बहुत समझदार थी और जब वह परीक्षण को फिर से लेना चाहती है तो वह तैयार हो जाएगी। यही कारण है कि यह कहानी से वापस संबंधित है।
",2,2,2
12,4,"मुझे लगता है कि उन्होंने कहानी को पैराग्राफ के कारण से समाप्त किया और फिर कहानी में बात करते हैं और रिपोर्ट करते हैं ताकि जब वे चले गए तो वे वापस आ जाएंगे और फिर से छोड़ देंगे ताकि मुझे लगता है कि मैं फिर से परीक्षा लेता हूं।
",0,0,0
13,4,"लेखक इस पैराग्राफ के साथ कहानी समाप्त करता है क्योंकि जब हर चीज वापस आने लगेगी तो वह परीक्षा लेगी। इसीलिए लेखक ने इस दृष्टांत के साथ कहानी का समापन किया
",1,1,1
14,4,"लेखक इस पैराग्राफ के साथ कहानी का निष्कर्ष यह निर्धारित करने की भावना दिखाते हैं कि सैंग पोज़ करता है। जब सेंग वापस आता है और अपनी माँ को हिबिस्कस पौधा दिखाता है, तो वह बहुत परेशान होती है, उसकी आँखों में आँसू होते हैं। उसकी माँ पहले तो पौधे खरीदने के लिए निराश होती है, लेकिन तब समझ जाती है जब उसे पता चलता है कि सांग विचलित था। माँ सैंग को हिबिस्कस को लगाने में मदद करने की पेशकश करती है, जो सांग को थोड़ा आराम देता है, जिससे उसे यह दृढ़ संकल्प हासिल करने में मदद मिलती है कि उसे ठीक होने की आवश्यकता है। कहानी कहती है, ""लगभग अनिच्छा से, उसने महसूस किया कि कई चीजें जो उसने अजीब होने से पहले सोचा था, मौसम के शांत पुनरावृत्ति के माध्यम से, अब उससे लगभग परिचित हैं।"" इस उद्धरण में कहा गया है कि सांग को पता है कि घर पर चीजें उसके नए देश में चीजों के समान हो सकती हैं। लेखक ""परिचित"" शब्द का उपयोग यह व्यक्त करने के लिए करता है कि सांग इस तथ्य को स्वीकार करना शुरू कर रहा है कि कुछ चीजें @महीना1 अलग हैं, लेकिन वह अंततः इसके लिए अभ्यस्त हो जाएगी, जिससे जीवन पर उसका दृष्टिकोण अधिक सकारात्मक हो जाएगा।
",2,2,2
15,4,"लेखक इस पैराग्राफ के साथ कहानी का समापन क्यों करता है क्योंकि पैराग्राफ में बहुत कुछ कहा गया है जो इस कहानी का मुख्य भाग है। उदाहरण के लिए सभी नामों और सत्रों के बारे में और वहाँ की तुलनाएँ और भिन्नताएँ और यह अलग-अलग नवोदितों के बारे में बात करता है जैसे कि जब आप अपने को अपने सोने की डली और हेडी प्राप्त करते हैं। क्योंकि हिबिस्कस कुछ अच्छे @नाम1 का नया रूप है।
",0,0,0
16,4,"वह इसे निष्कर्ष के रूप में बताता है क्योंकि यह विश्वास दिखाता है कि वह फूल में है और यह उसके आने वाले परीक्षण के लिए उसकी किस्मत कैसे लाएगा। उसे लगता है कि परिचित फूल के रूप में वह बाहर है और वे कुछ चीज़ों से संबंधित हो सकते हैं।
",1,1,1
17,4,"मेरा मानना ​​है कि लेखक ने सांग के साथ कहानी का समापन किया क्योंकि यह दिखाता है कि उसे घर की याद कब आती है। मेरा मानना ​​है कि उसे लगा कि वह परीक्षा पास कर सकती है जब फूल खिल रहा था और उसे घर की याद दिला दी। उदाहरण के लिए, सैंग ने कहा, ""पहले की तरह की तरह नहीं।"" यह मेरे लिए सुझाव है कि वह शायद घर बीमार थी। फिर जब वसंत आता है और यह खिलता है तो फूल उसे परीक्षा पास करने की ताकत दे सकता है। यही कारण है कि मेरा मानना ​​है कि लेखक इस पैराग्राफ के साथ समाप्त हो गया।
",2,1,2
18,4,"आर्थर इसका उपयोग करता है क्योंकि सैन्ग को हिबिस्कस और उस साल हुई सब कुछ रोपण से आत्मविश्वास मिला। तो अब तैयार है और यह क्या पाठक पाठक चाहता था पता लगाने के लिए है।
",1,1,1
