essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
1,5,"नार्सिसो रोड्रिगेज के इस संस्मरण में, @व्यक्ति3 का जीवन, यह सब मिलाकर मूड काफी शानदार था, और दिखाया कि कैसे उनके माता-पिता ने उन्हें अपने पूरे जीवन में प्यार दिया। उनके माता-पिता दोनों का जन्म और पालन-पोषण क्यूबा में हुआ था और 1956 में वे दोनों संयुक्त राज्य अमेरिका चले गए। अपना जीवन फिर से शुरू कर रहे हैं, और वे कोई भी नौकरी पा सकते हैं। फिर 1961 में, @व्यक्ति2, @नाम1। जन्म हुआ था। दोनों माता-पिता ने उसे प्यार, और देखभाल के साथ उठाया, और अपने जीवन में क्यूबा की पृष्ठभूमि का परिचय दिया। जैसा कि @व्यक्ति2, अपनी कहानी बता रहा था, सभी पाठक बता सकते थे कि वह अपने परिवार की तरह कितना महान था। इसके अलावा, जैसा कि उन्होंने अपने गैर-रक्त संबंधित परिवार को साझा किया था, और @स्थान2 पर जाकर उनके माता-पिता का जीवन कैसे बदल गया, इस बात की याद दिलाते हुए, उन्होंने उनके प्रति जो सम्मान दिखाया, उसे दिखाया।",2,2,4
2,5,"होम ऑफ द ब्लूप्रिंट्स ऑफ अवर लाइव्स, नार्सिसो रोड्रिग्ज के लेखक के अंश के दौरान, लेखक एक एकल समग्र मनोदशा बनाए रखने का प्रबंधन करता है। कहानी के कई हिस्सों में वह बताता है कि वह अपने बचपन से कितना प्यार करता था इसलिए यह मुझे सोचने के लिए प्रेरित करता था, लेकिन कहीं भी इस बात पर जोर नहीं दिया गया कि वह पिछले समय में लौटने के लिए तरसता है। उन्होंने हमेशा घोषित किया कि उनका परिवार कितना प्यार और निस्वार्थ था, कैसे उन्होंने दूसरों को सहायता दी और कैसे वह अपने पड़ोसियों के साथ ""परिवार"" बन गए। इसके कारण मुझे अपने माता-पिता के प्रति प्यार, प्यार और प्रशंसा करने का स्वर मिला है। यह इस तथ्य के कारण है कि वह बताता है कि कैसे उसके माता-पिता क्यूबा में अपने जीवन को छोड़ने के लिए बहुत बहादुर थे ताकि वह बेहतर जीवन जी सके। नार्सिसो रोड्रिगेज भी कई बार इस बात पर टिप्पणी करते हैं कि कैसे उनके माता-पिता ने ज़रूरत में इतनी मदद की। अगर रॉड्रिग्ज की स्थिति में मैं अपने माता-पिता को उतना ही प्यार और प्रशंसा करूंगा, अगर और नहीं, तो उनके निस्वार्थ कर्मों और उनके बेटे की परवरिश के लिए।",2,2,4
3,5,"संस्मरण में रचा गया लेखक प्रेम है। लेखक को पता चलता है कि परिवार को रक्त से संबंधित नहीं होना चाहिए। लेखक के पड़ोस में ""कहीं और रीति-रिवाजों के बावजूद, ये सभी संस्कृतियाँ एकजुटता और मित्रता में एक साथ आईं"" (@संख्या1)। लेखक अपने माता-पिता से बहुत प्यार करता है क्योंकि वे ""अपने बच्चों को बेहतर जीवन देने के लिए"" बहुत से आप्रवासी करते हैं, ""(@संख्या2)। लेखक बहुत महान है कि उसके माता-पिता ""माता और पिता इस तरह के साहस के साथ इस देश में आए थे, बिना किसी भाषा या संस्कृति का ज्ञान"" (@संख्या3)। लेखक के माता-पिता ने @स्थान1 पर जाकर उन्हें एक महान जीवन दिया और ""इस साधारण घर को @संख्या4) में बदल दिया।""",3,3,6
4,5,लेखक द्वारा बनाई गई मनोदशा यह दिखा रही है कि क्यूबा के लोग कैसे रहते थे और उनके कत्र्तव्य के बारे में और वे कैसे रहते थे और कुछ लोग अन्य संस्कारों से अलग हो सकते थे और @नाम1 को अपने संस्कारी माता-पिता की परवाह नहीं थी और कुछ लोग नार्सीसो माता-पिता के लिए अपने कत्र्ता की परवाह करते हैं। यही लेखक कहने की कोशिश कर रहा है। और यह कि कुछ लोगों को अपने संस्कार का सम्मान करना चाहिए न कि @नाम2 एक अलग संस्कारी होने का।,1,0,1
5,5,"संस्मरण में निर्मित मनोदशा प्रसन्नता और कृतज्ञता है। नार्सिसो @स्थान1 पर जाने के लिए अपने माता-पिता का आभारी है, और फिर भी क्यूबा में उसे एक घर का सुखद एहसास देता है। उनके माता-पिता ने उन्हें अपनी संस्कृति से अवगत कराया और उन्हें खुशी है कि उन्होंने ऐसा किया। नरसीसो को खुशी है कि वे उस घर में रहते हैं, जो उन्होंने किया था, और उन सभी अपारदर्शिता के बारे में जो उन्होंने एक बच्चे के रूप में की थीं। वह आभारी है कि उसका परिवार हमेशा एक साथ मिला और क्यूबा के संगीत, गतिविधियों और भोजन के साथ एक दावत की थी। उनके माता-पिता ने अपनी नौकरी छोड़ दी और पूरी तरह से अपना जीवन शुरू करना पड़ा। नार्सिसो भी आभारी है कि उसने ""परिवार"" की वास्तविक परिभाषा सीखी। वह अपने प्यार और त्याग के लिए अपने माता-पिता का भी बहुत आभारी है।",2,3,5
6,5,"मूड निश्चित रूप से आपको कहानी को बेहतर महसूस करने और समझने में मदद करता है। लेखक जिस तरह से अपने विचारों को बताता है, उसके कारण मूड खुश और उदास दोनों का मिश्रण है। उदाहरण के लिए, वाक्य ""मैं यह कभी नहीं भूलूंगा कि मेरे माता-पिता ने इस साधारण घर को एक घर में कैसे बदल दिया"" मुझे दुखी करता है क्योंकि वह बड़ा हो गया है और अब सब कुछ बस यादें हैं लेकिन वह उन सुखद यादों को रखता है। अधिकांश अन्य विचार जैसे ""मैं अपने प्यार और बलिदान के लिए अपने माता-पिता का आभारी रहूंगा"" भी खुश या दुखी होने के लिए समान कारण हैं। हालाँकि ""मेरे माता और पिता जैसे बयान इस देश में इतने साहस के साथ आए, बिना किसी भाषा या संस्कृति के ज्ञान के"" मुझे खुशी है कि उनके माता-पिता इतने दृढ़ थे। कुल मिलाकर मुख्य विचार उनके जीवन के अच्छे और बुरे समय को याद कर रहा है और इस विचार के लिए मूड खुश / दुखी है।",2,3,5
7,5,"""होम: द ब्लूप्रिंट्स ऑफ आवर लाइव्स"" से नार्सिसो रोड्रिग्ज के संस्मरण में उन्होंने प्यार और जुनून को शामिल किया। आप यह बता सकते हैं कि नार्सिसो कुछ चीजों के बारे में कितनी दृढ़ता और दृढ़ता से बात करता है। ""यहाँ, बचपन की मासूमियत, परिवार और दोस्तों की मण्डली और अंतहीन समारोह जो दोनों को शामिल करते हैं, ने हमारे गर्म घरों में जीवन की पृष्ठभूमि का गठन किया।"" अकेले इस एक वाक्य में, आप नार्सिसो के जुनून और उनके घर के इस प्यार को महसूस कर सकते थे। नार्सिसो अपने माता-पिता के बारे में बात करते समय पैराग्राफ @संख्या1 और @संख्या2 में बहुत प्यार और धन्यवाद का भाव रखता है। ""यह वह जगह थी जहां मैंने 'परिवार' की वास्तविक परिभाषा सीखी ... मैं कभी नहीं भूलूंगा कि मेरे माता-पिता ने साधारण घर को घर में कैसे बदल दिया।"" ये दो वाक्य सबसे अधिक संभवत: नार्सिसो के संस्मरण में सबसे मजबूत हैं, ये दोनों भी सबसे अधिक जुनून और अर्थ से भरे हुए हैं। जैसा कि आप देख सकते हैं, ""होम: द ब्लूप्रिंट्स ऑफ आवर लाइव्स"" से नार्सिसो रोड्रिग्ज के संस्मरण में, मूड नार्सिसो इसमें प्यार और जुनून है।",3,3,6
8,5,"अंश में लेखक द्वारा बनाया गया प्रेम प्रेम है। परिवार के लिए प्यार और एक-दूसरे के लिए प्यार। लेखक अपने माता-पिता के बारे में प्यार और सम्मान से बात करता है, ""मैं यह कभी नहीं भूलूंगा कि मेरे माता-पिता ने इस साधारण घर को घर में कैसे बदल दिया।"" लेखक अपने सभी माता-पिता को अपने स्वयं के और अपने जीवन को बेहतर बनाने के लिए गुजरता है। ऐसा करने में उन्होंने एक अपार्टमेंट को प्यार की जगह में बदल दिया और देखभाल की कि वह कभी नहीं भूलेंगे और इससे भी महत्वपूर्ण बात यह है कि उन्होंने इस प्यार को पार कर लिया। लेखक अपने ""परिवार"" और उनके बीच साझा किए गए प्यार के बारे में भी बात करता है, ""मेरे माता-पिता ने हमेशा अपनी बाहों और उनके दरवाजे को उन कई लोगों के लिए खुला रखा था जिन्हें हम परिवार मानते थे ..."" लेखक का ""परिवार"" पूरी तरह से रक्त से संबंधित नहीं था। कई लोग दोस्त थे लेकिन बहुत करीबी दोस्त जो हवलदार परिवार की तरह बन जाते थे और उनका हमेशा स्वागत किया जाता था। अंत में, लेखक अपने समुदाय के बारे में बात करता है, ""हमारे पड़ोस में, कहीं और रीति-रिवाजों के बावजूद, ये सभी संस्कृतियां बड़ी एकजुटता और मित्रता में एक साथ आईं।"" कोई फर्क नहीं पड़ता कि वे किस राष्ट्रीयता के साथ एक साथ थे और समझ बहुत निकट थी। यह दोस्ती, विश्वास, प्यार, और देखभाल के ये मूल सिद्धांत थे जो इस अंश के लेखक पर लोगों की एक विविधता द्वारा पारित किए गए थे और अंश को प्यार का एक मूड देते हैं।",4,4,8
9,5,"संस्मरण में लेखक द्वारा बनाया गया मिजाज कृतज्ञ और भाग्यशाली है। नार्सिसो रोड्रिगेज अपने माता-पिता और क्यूबा होने की अपनी विरासत के लिए बहुत भाग्यशाली होने के बारे में बात करता है। पैराग्राफ @संख्या1 से, ""मैं अपने माता-पिता के प्यार और बलिदान के लिए हमेशा उनका आभारी रहूंगा।"" @नाम1 कह रहा है कि @नाम1 अपने माता-पिता के रूप में अपने माता-पिता के लिए बहुत खुश और भाग्यशाली था जो कि संस्मरण का मुख्य मिजाज है। उनके संस्मरण में नार्सिसो रोड्रिगेज द्वारा बनाया गया मिजाज ही खुशी है। @नाम1 यह कहकर कहानी को खुश करता है कि उसके परिवार के साथ बड़ा होना कितना अच्छा था। @नाम1 यह भी कहता है कि उसका परिवार उसके पड़ोस में भी बहुत सारे लोगों के साथ था। @नाम1 एक महान परिवार के लिए खुश है। पैराग्राफ @संख्या2 से, ""यहाँ, बचपन की मासूमियत, मण्डली परिवार और दोस्तों, और अंतहीन समारोहों में जो दोनों को शामिल करते हैं, ने हमारे गर्म घर में जीवन की पृष्ठभूमि का गठन किया।"" @नाम2 उनके संस्मरण में रोड्रिगेज के दो मूड हैं।",3,3,6
10,5,"लेखक आम तौर पर एक मूड में रहता था। कहानी में चित्रित की गई मनोदशा पारिवारिक थी और दोस्त बहुत महत्वपूर्ण हैं और वे आपकी मदद करते हैं कि आप भविष्य में क्या होंगे। यही कारण है कि लेखक ने जोर देकर कहा कि वह कितना शुक्रगुजार था कि उसका परिवार @स्थान1 में आया था ताकि वह एक बेहतर जीवन बना सके और उसके दोस्त अपनी संस्कृति को साझा करने के लिए आए। लेखक यह भी कह रहा था कि @स्थान1 में भी उसके क्यूबा के रक्त और संस्कृति को याद रखना महत्वपूर्ण था। यही कारण है कि वह कहते हैं ""... और खाना पकाने का एक प्यार जो आज भी मेरे साथ है (और जिसके लिए मैं अनंत काल से सम्मानित हूं)। पैशनेट क्यूबन संगीत (जिसे मैं आज तक मानता हूं) ने हवा को भरा, सुगंधों के साथ मिलाया। रसोई का। ” इसके अलावा लेखक का कहना है कि एक घर वह है जहाँ पर गीट की यादें हैं और क्या आप बड़े हो रहे हैं, आपको इसे कभी नहीं भूलना चाहिए।",3,3,6
