essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
1,6,"कई बाधाएं थीं जो बिल्डर्स ने एम्पायर स्टेट बिल्डिंग में डेरिगिबल्स डॉक करने के प्रयास में सामना किया था। अत्यधिक ज्वलनशील गैस हाइड्रोजन के कारण डायरिगिबल्स के साथ सुरक्षा एक मुद्दा था। इसलिए, अगर डरिगिबल्स ने न्यूयॉर्क में विस्फोट किया तो बहुत से लोग मारे जा सकते थे। एक और समस्या व्युत्पन्न @नाम1 को रखे हुए है ताकि लोग उतर सकें जबकि हवा खुद के पिछले सिरे को हिलाती है। एकमात्र तरीका यह था कि नेतृत्व योग्य वजन को पीछे के पात्र में बाँध दिया जाए, लेकिन यह नीचे के लोगों पर खतरनाक होगा। इसलिए, इन बाधाओं श्रमिकों का सामना करना पड़ा, उन्हें कभी भी अतीत नहीं मिला और इसलिए उन्होंने अवलोकन क्षेत्र में पर्यटकों के लिए दुनिया का सबसे ऊंचा सोडा फव्वारा और चाय बागान बनाया।",2,2,4
2,6,"उसे शुरू से, हवा में कुछ @संख्या1 फीट गोदी करने के लिए डेरिगिबल्स की अनुमति देने के साथ कई समस्याएं होती। यहां मुख्य समस्या यह होगी कि न्यू यॉर्क शहर में एक अत्यधिक आबादी वाले क्षेत्र में एम्पायर स्टेट बिल्डिंग का निर्माण किया जा रहा था। मूरिंग मस्तूल के नीचे कई अन्य इमारतें होंगी जिन पर दूसरे लोग काम करते थे और रहते थे। यदि वह योग्य होने के दौरान कुछ हुआ था, तो वह गोदी करने का प्रयास कर रहा था, यह इमारत और उसमें लोगों के जीवन को निकाल सकता था। इतना ही नहीं, बल्कि नीचे शहर की सड़कें थीं, जहाँ पैदल यात्री चलते थे। पैराग्राफ @संख्या2 में, मार्ग भवन के शीर्ष पर एक भारी, स्टील फ़्रेमयुक्त हवाई पोत के तनाव के बारे में भी बात करता है। फ्रेम को बहुत घना करने की आवश्यकता होगी और, जैसा कि परियोजना के वास्तुकारों ने महंगा खोजा है। अन्य सुरक्षा मुद्दों में उच्च हवाएं शामिल हैं जो पाठ्यक्रम से डेरिगिबल्स को बहाव देती हैं, और खुद डेरिगिबल्स की सुरक्षा। मार्ग में हिंडनबर्ग घटना का उल्लेख है, साथ ही भवन के मालिकों को इस बात की चिंता थी कि इस तरह की घनी आबादी वाले क्षेत्र में ऐसा हो रहा है।",3,3,6
3,6,"एम्पायर स्टेट बिल्डिंग के बिल्डरों ने डेरिगिबल्स को वहां डॉक करने की अनुमति देते समय कई बाधाओं का सामना किया। एक बाधा यह थी कि योग्य को एक एकल केबल टेथर द्वारा धारण करना होगा। यह फ्रेम या मजबूत बनाने के लिए भवन के फ्रेम में तनाव जोड़ देगा, इमारत के ढांचे में संशोधन किया गया था जिसकी लागत छह हजार डॉलर से अधिक थी। बिल्डरों का सामना करने में एक और बाधा हाइड्रोजन के उपयोग के योग्य थी जो अत्यधिक ज्वलनशील है। चूंकि न्यूयॉर्क घनी आबादी वाला क्षेत्र था, इसलिए यह अच्छी तरह से काम नहीं करेगा। डेरिगिबल्स को वजन में सीसे के भार के साथ पीछे करना होगा। ऐसा करने के लिए, लीड वेट सड़क पर पैदल चलने वालों के ऊपर ऊंचे झूलों को खत्म कर देगा, जो एक सुरक्षा का मुद्दा था जो बिल्डरों का सामना करने में एक आखिरी बाधा था, शहरी इलाकों में बहुत कम उड़ान भरने वाले हवाई जहाजों के खिलाफ कानून। इस कानून ने एक जहाज को कभी भी इमारत से बांधने या उस क्षेत्र का रुख करने के लिए अवैध बना दिया।",3,4,7
4,6,"मार्गिया एमिडॉन @नाम1 द्वारा द मूरिंग मस्त। एम्पायर स्टेट बिल्डिंग के निर्माणकर्ताओं ने एम्पायर स्टेट बिल्डिंग के निर्माण में बाधाओं का सामना किया, जिससे डरिगिबल्स को वहां डॉक करने की अनुमति मिली। एक कारण यह है कि अल स्मिथ (न्यू यॉर्क के चार-टर्म गवर्नर) जिन्होंने साम्राज्य निर्माण के दौरान निर्माण कार्य का नेतृत्व किया था। कार्यालय में वर्षों) ने टॉवर को लंबा बना दिया था ... इमारत की ऊँचाई 1,250 फीट थी। लेकिन दुनिया के सबसे ऊंचे टॉवर का शीर्षक खोने के बाद उन्होंने घोषणा की कि टॉवर पर एक शीर्ष या टोपी लगाई जाएगी। एक और कारण। टॉवर को डिरिजिबल्स (ब्लिम्प्स) के लिए बनाया गया था जो न्यूयॉर्क से न्यू जर्सी के @नाम2 लोगों को दे सकता था। स्मिथ एक ऐसी जगह चाहते थे, जहाँ डरिगिल्स डॉक कर सकें। लेकिन ऐसा कभी नहीं हुआ क्योंकि न्यू जर्सी के लेकहर्स्ट में आग लगने से जर्मन '' हिंडनबर्ग '' नष्ट हो गया और 6 मई, 1937 को स्टेट बिल्डिंग के मालिकों को एहसास हुआ कि न्यू यॉर्क के ऊपर यह हादसा कितना बुरा हो सकता था। 1930 के विचार को छोड़ दिया गया था जब एक और योग्य व्यक्ति एक स्टंट को सफल बनाने की कोशिश कर रहा था। एम्पायर स्टेट बिल्डिंग को कभी भी वह नहीं मिला जो इसके लिए बनाया गया था।",1,1,2
5,6,"एम्पायर स्टेट बिल्डिंग के बिल्डरों ने डेरिगिबल्स को वहां डॉक करने की कोशिश करने में कई बाधाओं का सामना किया। पहली बाधा उन्हें शहरी क्षेत्रों में बहुत कम उड़ान भरने वाले हवाई जहाजों के खिलाफ मौजूदा कानून की थी। इसने इमारत पर टिकने के लिए वैध होने के लिए इसे अवैध बना दिया। डेरिगिबल्स को गोदी करने की अनुमति देने में एक और बाधा का सामना करना पड़ा। अधिकांश डाइरिगिबल्स ने हाइड्रोजन का उपयोग किया जो अत्यधिक ज्वलनशील था। यदि न्यूयॉर्क के घनी आबादी वाले इलाके में एक भीषण आग लग जाती है, तो एक अच्छा मौका होगा कि बहुत से लोग चोटिल होंगे। अंतिम बाधा का सामना करना पड़ा ""प्रकृति ही।"" एम्पायर स्टेट बिल्डिंग के शीर्ष पर चलने वाली हवाएं हिंसक वायु धाराओं के कारण लगातार हिल रही थीं। भले ही एक योग्य मूरिंग मस्तूल से जुड़ा होगा, लेकिन इसके पीछे एक खतरनाक तरीके से मूरिंग मस्तूल के चारों ओर घूमेगा। एम्पायर स्टेट बिल्डिंग के कामगारों को कई बाधाओं का सामना करना पड़ा ताकि वहां एक योग्य डॉक को अनुमति दी जा सके।",3,3,6
6,6,"गर्भाधान के तुरंत बाद, एम्पायर स्टेट बिल्डिंग मूरिंग मस्तूल को विफल करने के लिए बर्बाद किया गया था। शुरुआती बाधाओं को आसानी से सामना किया गया था, उदाहरण के लिए मूर एयरशिप के अतिरिक्त वजन के कारण इमारत के फ्रेम पर अतिरिक्त तनाव की समस्या। यह इमारत के ढांचे के लिए संरचनात्मक संशोधनों, एक महंगी लेकिन काफी सरल प्रक्रिया द्वारा तय किया गया था। परियोजना के सबसे बड़े झटकों में से एक हिंडनबर्ग आपदा का आगमन था। हिंडनबर्ग आपदा हवाई जहाजों में गिरावट का सबसे बड़ा कारण थी। हवाई जहाज सुरक्षित, तेज, परिवहन के अधिक डिजाइनर रूप बन गए। हिंडनबर्ग आपदा के अलावा, यह जल्द ही स्पष्ट हो गया कि @संख्या1 या उच्चतर पर मौरंग और हवाई पोत संभव नहीं था। सर्द हवाओं के कारण एयरशिप को यह बनाए रखने की अनुमति नहीं होगी और जहाज को मस्तूल के चारों ओर गलती से उड़ा दिया जाएगा। मूरिंग मास्ट के लिए ताबूत में अंतिम कील शहरी क्षेत्रों में हवाई यात्रा पर प्रतिबंध लगाने वाला कानून था। इन कई कारकों ने भविष्य में सफल हवाई यात्रा की किसी भी संभावना को आसानी से रोक दिया।",4,3,7
7,6,"एम्पायर @नाम1 बिल्डिंग के बिल्डरों को बाधाओं का सामना करना पड़ा, जबकि वहाँ पहुंचने के लिए डेरिगिबल्स की अनुमति देने का प्रयास किया गया। आर्किटेक्टों ने महसूस किया कि वे इमारत के शीर्ष पर मौरिंग मस्तूल को संशोधित किए बिना और इमारत के स्टील फ्रेम को मजबूत किए बिना नहीं रख सकते थे। डेरिगिबल्स के भार और हवा के दबाव के तनाव से फ्रेमवर्क में बहुत अधिक भार जुड़ जाएगा, जिससे यह ध्वस्त हो सकता है। उन्होंने इमारत के शीर्ष पर चमकदार कांच और क्रोम-निकल स्टेनलेस स्टील टॉवर लगाने से पहले इमारत के नीचे से ऊपर तक ढांचे को मजबूत किया। बिल्डरों को इन बाधाओं का सामना करना पड़ा लेकिन वे अपना लक्ष्य पूरा करने में सफल रहे। मूरिंग मस्तूल को डॉकिंग स्टेशन के रूप में उपयोग नहीं किया जाता है, लेकिन इसे अभी भी अंतिम पिस के रूप में देखा जाता है जो एम्पायर स्टेट बिल्डिंग को न्यूयॉर्क शहर के सभी भवनों के ऊपर खड़ा करता है।",2,3,5
8,6,"मार्सिया एमिडन लुस्टेड द्वारा ""द मूरिंग मस्त"" के अंश में, योजनाबद्ध डॉकिंग मास्ट की योजनाओं और निर्माण के दौरान कई जटिलताएं हुईं। एक बाधा यह थी कि डेरिगिबल्स बस बहुत भारी थे और इमारत के धातु के फ्रेम को संशोधित करना होगा। एम्पायर स्टेट बिल्डिंग के ढांचे की मरम्मत के बाद, दो परीक्षण रन @संगठन3 योग्य ""लॉस एंजिल्स"" और गुडइयर ब्लींप ""कोलंबिया"" द्वारा प्रदर्शित किए गए थे। समाप्ति के परिणाम यह थे कि हवा का प्रवाह, शारीरिक रूप से, ब्लींप को गोदी करने के लिए इमारत के करीब आने की अनुमति नहीं देता था। इसके अलावा, ""शहरी शहरों में बहुत कम उड़ान भरने वाले हवाई जहाजों के खिलाफ एक मौजूदा कानून"" एक बाधा थी जिसे वे पार नहीं कर सके। । अपने प्रयासों को स्थगित करने के वर्षों के बाद, हवाई जहाज ने रास्ता बनाया और परिवहन के रूप में डरिगिबल्स, लंबे समय से भूल गए थे।",3,3,6
9,6,"बिल्डरों का सामना करने में बाधाएं बड़ी थीं। उन्होंने बताया कि कैसे @स्थान1 के बाहर के अधिकांश डाइरिजिबल्स हाइड्रोजन नामक एक अलग गैस का उपयोग करते हैं जो अत्यधिक ज्वलनशील है। इसके बाद उन्होंने @स्थान1 को बताया कि कैसे 1937 में आग लगाकर हिंडनबर्ग ने हाइड्रोजन का इस्तेमाल किया। उन्हें एहसास हुआ कि अगर शहरी क्षेत्र में ऐसा होता तो यह और भी बुरा हो सकता था। एंथोर बाधा वे सामना किया हवा थी। यदि मिरिंग को मूरिंग पर खड़ा किया गया था, तो हिंसक हवा की गति ब्लिंप को शिफ्ट कर देगी और इमारत के स्टील फ्रेम पर स्ट्रीट्स का कारण बनेगी। सबसे बड़ी बाधा कानून पारित किया गया था। कानून ने कहा कि कोई भी हवाई जहाज शहरी क्षेत्रों में कम उड़ान नहीं भर सकता है। यह वहाँ से उतरने से धुंधला हो जाएगा।",3,3,6
10,6,"एम्पायर स्टेट के बिल्डरों ने एक महान विचार का निर्माण किया। वे इमारत के शीर्ष पर डेरिगिबल्स या ब्लिम्प्स का निर्माण करने में सक्षम होना चाहते थे। हालांकि, इस विचार के साथ कई समस्याएं थीं। सबसे पहले, अपने आप को ब्लींप बहुत मजबूत नहीं थे। मजबूत हवाएं आसानी से अन्य इमारतों के मकड़ियों में गोदी करने की कोशिश कर रहे डेरिगिबल्स को उड़ा सकती हैं। डेलीगिबल्स ने भी हीलियम के बजाय हाइड्रोजन गैस का उपयोग करना शुरू कर दिया। हाइड्रोजन गैस अत्यंत ज्वलनशील है। सबसे छोटा स्पार्किंग पूरे ब्लिंप को नष्ट कर सकता है। डॉकिंग सिस्टम भी एक समस्या थी। एक योग्य स्तर रखने का एकमात्र तरीका पक्ष से लीड वेट को लटका देना था। एक चिंता यह थी कि एक रास्ता बंद हो सकता है और नीचे घनी आबादी वाले शहर में गिर सकता है। यह बहुत विनाशकारी साबित हो सकता है!",3,3,6
